Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits
DC19490,AMAZING CHILDREN EARLY LEARNING CENTER,DIWANTIE SEEMANGAL,758 EAST 222 STREET,BRONX,10467,347-899-8576,15998,2014-05-07,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,17,4,10,3,7
DC18411,AMAZING MAGIC BEANS,AMAZING CHILD CARE INC.,43-12 46TH ST.,QUEENS,11104,718-786-8091,7933,2014-09-07,Permitted,2 YEARS - 5 YEARS,50,No,Private,10,2,3,5,7
DC23050,AMBASSADOR CHRISTIAN DAY CARE ACADEMY,LEONIA GIPSON,993 CLARKSON AVENUE,BROOKLYN,11212,718-809-0233,32579,2015-02-14,Permitted,2 YEARS - 5 YEARS,21,No,Private,10,7,3,0,6
DC12242,AMERICAN EUROPEAN CHILD CARE,"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,6191,2015-08-15,Permitted,0 YEARS - 2 YEARS,10,No,Private,15,4,5,6,7
DC822,AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER,"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,5938,2014-10-23,Permitted,2 YEARS - 5 YEARS,21,No,Private,41,9,17,15,10
DC18823,AMY'S ACADEMY,AMY'S KIDDIE DAY CARE CENTER LLC,102 FENIMORE STREET,BROOKLYN,11225,718-462-3200,7955,2014-11-26,Permitted,2 YEARS - 5 YEARS,36,No,Private,42,9,21,12,9
DC10465,ANGEL STAR DAY CARE CENTER,"ANGEL STAR DAY CARE CENTER, INC.",6803 20 AVENUE,BROOKLYN,11204,718-331-7282,7501,2015-01-01,Permitted,2 YEARS - 5 YEARS,19,No,Private,30,8,12,10,10
DC19771,ANGELS IN THE GARDENS CHILD CARE CORP,ANGELS IN THE GARDENS CHILD CARE CORP,72-32 GREENWAY SOUTH,QUEENS,11375,718-997-0990,8288,2015-04-18,Permitted,2 YEARS - 5 YEARS,25,No,Private,4,0,3,1,8
DC24572,ANNA LEFKOWITZ DAY CARE CENTER,"PHILIP MICHAELS CHILD CARE CENTER, INC.",690 WESTCHESTER AVENUE,BRONX,10455,718-292-8682,23437,2014-09-28,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,10,2,5,3,4
DC2585,ANTIOCH  ACADEMY,ANTIOCH BAPTIST CHURCH,515 WEST 125 STREET,MANHATTAN,10027,212-222-2324,5247,2014-09-30,Permitted,2 YEARS - 5 YEARS,30,No,Private,19,5,9,5,9
DC14676,APPLE TREE DAY CARE,"APPLE TREE DAYCARE AC, INC.",440 EAST 48TH STREET,BROOKLYN,11203,718-287-7488,44957,2015-06-25,Permitted,2 YEARS - 5 YEARS,55,No,Private,14,5,2,7,3
DC19803,APPLE TREE DAY CARE CENTER,APPLETREE DAY CARE CENTER INC,73-20 BELL BLVD.,QUEENS,11364,718-264-1588,8241,2015-02-28,Permitted,2 YEARS - 5 YEARS,69,No,Private,13,1,10,2,10
DC20395,APPLE TREE TODDLER CENTER,APPLETREE TODDLER CENTER INC.,73-20 BELL BLVD.,QUEENS,11364,718-264-1588,8238,2015-02-08,Permitted,0 YEARS - 2 YEARS,10,No,Private,16,3,11,2,12
DC16721,ARCADIA CHILDREN'S  DAYCARE,SHARBANI ROY INC.,2195 GRAND CONCOURSE,BRONX,10453,718-561-8062,7703,2015-01-05,Permitted,2 YEARS - 5 YEARS,62,Yes,Private,38,6,21,11,7
DC22141,ARISTA PREPARATORY  NURSERY & ACADEMY (P.S.),"ARISTA PREPARATORY, INC.",275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290,10017,2015-12-15,Permitted,2 YEARS - 5 YEARS,75,No,Private,31,0,14,17,9
DC22142,ARISTA PREPARATORY NURSERY & ACADEMY  (I/T),"ARISTA PREPARATORY, INC.",275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290,10018,2015-12-15,Permitted,0 YEARS - 2 YEARS,15,No,Private,13,1,5,7,8
DC2110,ASSOCIATED BETH RIVKAH SCHOOLS,"ASSOCIATED BETH RIVKAH SCHOOLS, INC.",470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770,7382,2015-03-20,Permitted,2 YEARS - 5 YEARS,228,No,ACS Head Start,6,1,3,2,7
DC14793,ASSOCIATED BETH RIVKAH SCHOOLS HEAD START,ASSOCIATED BETH RIVKAH SCHOOL FOR GIRLS,470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770,7957,2014-12-02,Permitted,2 YEARS - 5 YEARS,32,No,Head Start (Direct Fed. Funding),12,2,6,4,8
DC2046,ASTOR SERVICES FOR CHILDREN AND FAMILIES / LAWRENCE F. HICKEY CENTER,ASTOR SERVICES FOR CHILDREN AND FAMILIES,4010 DYRE AVENUE,BRONX,10466,718-515-3000,5927,2015-07-18,Permitted,2 YEARS - 5 YEARS,40,No,Private,4,1,0,3,6
DC1344,ASTORIA BLUE FEATHER HEAD START,NYSARC INC. NYC CHAPTER,27-07 8 STREET,QUEENS,11102,718-721-3960,5221,2016-06-18,Permitted,2 YEARS - 5 YEARS,83,Yes,Private,5,0,2,3,11
DC19204,ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980,8169,2016-05-28,Permitted,0 YEARS - 2 YEARS,16,Yes,Head Start (Direct Fed. Funding),13,2,5,6,10
DC21046,ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980,8170,2016-05-28,Permitted,2 YEARS - 5 YEARS,47,Yes,Head Start (Direct Fed. Funding),11,3,5,3,9
DC1130,ATONEMENT PRE-SCHOOL,THE EVANGELICAL LUTHERAN CHURCH OF THE ATONEMENT,87-07 31 AVENUE,QUEENS,11369,718-639-6074,6977,2016-04-05,Permitted,2 YEARS - 5 YEARS,40,No,Private,10,0,9,1,7
DC17011,AUDITORY/ORAL SCHOOL OF NY/ STRIVRIGHT,"THE AUDITORY/ORAL LEARNING CENTER, INC.",3321 AVENUE M,BROOKLYN,11210,718-531-1800,8357,2015-08-04,Permitted,2 YEARS - 5 YEARS,193,No,Private,7,0,5,2,6
DC24691,AUDREY JOHNSON LEARNING CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",272 MOFFAT STREET,BROOKLYN,11207,718-574-0130,27578,2014-11-20,Permitted,2 YEARS - 5 YEARS,158,No,ACS Contracted Preschools,8,1,4,3,5
DC2871,AUGUSTANA EVANGELICAL LUTHERAN CHURCH,AUGUSTANA LUTHERAN PRE-SCHOOL,69-05 DITMARS BOULEVARD,QUEENS,11370,718-626-5957,6511,2013-10-21,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,2,0,2,0,9
DC24766,"AVA'S LITTLE ACHIEVERS, INC.","AVA'S LITTLE ACHIEVERS, INC.",1743 LINDEN BLVD.,BROOKLYN,11207,347-318-3623,33340,2015-02-26,Permitted,2 YEARS - 5 YEARS,25,No,Private,12,2,5,5,3
DC2040,"AVALON ACADEMY, PARK SLOPE (INFANT/TODDLER)","AVALON CHILDCARE, PARK SLOPE, INC.",204 15 STREET,BROOKLYN,11215,718-768-4300,7151,2015-03-14,Permitted,0 YEARS - 2 YEARS,34,No,Private,30,5,15,10,12
DC17018,"AVALON CHILD CARE OF RED HOOK, INC.","AVALON CHILD CARE OF RED HOOK, INC.",48 SULLIVAN STREET,BROOKLYN,11231,718-855-4655,7989,2013-02-28,Expired-InRenewal,0 YEARS - 2 YEARS,47,No,Private,7,2,3,2,5
DC10769,"AVALON CHILDCARE, FIFTH AVENUE","AVALON CHILDCARE, FIFTH AVENUE, INC.",552 5 AVENUE,BROOKLYN,11215,718-768-4300,7618,2014-06-30,Permitted,2 YEARS - 5 YEARS,29,No,Private,69,16,28,25,16
DC18803,"AVALON FIFTH AVENUE TODDLER PROGRAM,INC.","AVALON FIFTH AVENUE TODDLER PROGRAM,INC.",552 5 AVENUE,BROOKLYN,11215,718-768-4300,7898,2014-06-30,Permitted,2 YEARS - 5 YEARS,29,No,Private,34,5,16,13,11
DC25195,AWESOME BUNNIES CHILDCARE CENTER,"NEW YORK UNITED DAY CARE,INC.",349 KEAP STREET,BROOKLYN,11211,718-302-4400,42519,2015-06-05,Permitted,0 YEARS - 2 YEARS,10,No,Private,5,2,3,0,4
DC23234,B ' ABOVE EARLY LEARNING CENTER,"B'ABOVE WORLDWIDE INSTITUTE, INC.",1810 DAVIDSON AVENUE,BRONX,10453,718-466-7509,23517,2014-09-28,Permitted,2 YEARS - 5 YEARS,127,Yes,ACS Contracted Preschools,4,1,1,2,2
DC24700,B'ABOVE WORKWIDE INSTITUTE /NEW HYDE PARK,"B'ABOVE WORLDWIDE INSTITUTE, INC.",771-779 EAST 49TH STREET,BROOKLYN,11203,718-451-1126,27737,2014-11-21,Permitted,2 YEARS - 5 YEARS,176,Yes,ACS Contracted Preschools,28,6,12,10,9
DC18950,B'ABOVE WORLD WIDE HEAD START,B'ABOVE WORLD WIDE INSTITUTE,60-05 WOODHAVEN BLVD,QUEENS,11373,718-805-2252,7963,2014-10-28,Permitted,2 YEARS - 5 YEARS,138,Yes,ACS Head Start,22,3,13,6,7
DC22198,B'ABOVE WORLDWIDE INSTITUTE / KRULA,B'ABOVE WORLD WIDE INSTITUTE INC.,799 KENT  AVENUE,BROOKLYN,11205,347-943-6353,29317,2014-12-14,Permitted,2 YEARS - 5 YEARS,98,Yes,ACS Contracted Preschools,9,2,4,3,2
DC19171,BABY GENIUS DAY CARE CENTER,"BABY GENIUS DAY CARE CENTER,INC.",2082 UTICA AVENUE,BROOKLYN,11234,347-312-5277,8008,2015-03-20,Permitted,2 YEARS - 5 YEARS,40,No,Private,59,9,38,12,14
DC22490,BABY STEPS,"BABY STEPS DAY CARE, INC.",99-06 METROPOLITAN AVENUE,QUEENS,11375,718-451-6094,20517,2014-08-08,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,4
DC22324,BAIS FRIEDA CHILD CARE,BAIS FRIEDA CHILD CARE CENTER INC.,1326 EAST 10TH STREET,BROOKLYN,11230,845-596-2271,28638,2014-12-05,Permitted,2 YEARS - 5 YEARS,54,No,Private,8,0,6,2,5
DC20809,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169 43RD STREET,BROOKLYN,11219,718-435-5111,8262,2015-01-24,Permitted,0 YEARS - 2 YEARS,16,No,Head Start (Direct Fed. Funding),14,1,8,5,7
DC25392,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169 43RD STREET,BROOKLYN,11219,718-435-5111,40417,2015-05-16,Permitted,2 YEARS - 5 YEARS,32,No,Head Start (Direct Fed. Funding),2,0,1,1,2
DC22831,BAM BAM'S PLAYHOUSE,"BAM BAM'S PLAYHOUSE, INC.",714 BANNER AVENUE,BROOKLYN,11235,718-332-3974,23217,2014-09-26,Permitted,2 YEARS - 5 YEARS,25,No,Private,14,2,8,4,5
DC21577,BAM BAM'S PLAYHOUSE INFANT/TODDLER,"BAM BAM'S PLAYHOUSE,INC.",714 BANNER AVENUE,BROOKLYN,11235,718-332-3974,8320,2015-06-10,Permitted,0 YEARS - 2 YEARS,10,No,Private,8,0,7,1,8
DC21649,BAMBI CHILD CARE (INFANTS/ YOUNG TODDLERS),BAMBI CHILD CARE 2 INC.,1218 PROSPECT AVENUE,BROOKLYN,11218,718-499-3299,13878,2016-01-24,Permitted,0 YEARS - 2 YEARS,8,No,Private,19,5,8,6,7
DC21648,BAMBI CHILD CARE (PRESCHOOL),BAMBI CHILD CARE 2 INC.,1218 PROSPECT AVENUE,BROOKLYN,11218,718-499-2299,13877,2016-01-24,Permitted,2 YEARS - 5 YEARS,20,No,Private,18,2,10,6,7
DC14146,BAMBI DAY CARE CENTER INC.,BAMBI DAY CARE CENTER INC,138 HANCOCK STREET,BROOKLYN,11216,718-230-3487,7600,2015-12-12,Permitted,2 YEARS - 5 YEARS,35,No,Private,36,4,23,9,10
DC1795,"BAMBI DAY CARE, INC.","BAMBI DAY CARE, INC.",300 ROGERS AVENUE,BROOKLYN,11225,718-771-1603,4879,2016-01-17,Permitted,2 YEARS - 5 YEARS,75,No,Private,8,0,6,2,7
DC2207,BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE FAMILY CENTER,610 WEST 112 STREET,MANHATTAN,10025,212-875-4414,5728,2014-10-31,Permitted,2 YEARS - 5 YEARS,31,Yes,Private,0,0,0,0,5
DC10953,BANK STREET FAMILY CENTER,BANK STREET COLLEGE OF EDUCATION,610 WEST 112 STREET,MANHATTAN,10025,212-875-4412,5798,2015-06-30,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,1,1,0,0,6
DC2150,BANK STREET HEAD START,BANK STREET COLLEGE OF EDUCATION,113 EAST 13 STREET,MANHATTAN,10003,212-353-2532,7401,2015-02-17,Permitted,2 YEARS - 5 YEARS,79,Yes,Head Start (Direct Fed. Funding),12,2,5,5,7
DC2163,BARNARD COLLEGE CENTER FOR TODDLER  DEVELOPMENT,BARNARD COLLEGE,3009 BROADWAY,MANHATTAN,10027,212-854-8271,5797,2015-12-03,Permitted,0 YEARS - 2 YEARS,13,No,Private,3,0,0,3,7
DC15167,"BARNEY DAY CARE CENTER, INC.","BARNEY DAY CARE CENTER, INC.",472 NETHERLAND AVENUE,STATEN ISLAND,10303,718-477-5262,7847,2015-11-20,Permitted,2 YEARS - 5 YEARS,23,No,Private,29,4,14,11,9
DC12261,BARROW STREET NURSERY SCHOOL AT THE GREENWICH HOUSE INC.,BARROW STREET NURSERY SCHOOL @ GREENWICH HOUSE,27 BARROW STREET,MANHATTAN,10014,212-633-1203,4963,2014-10-26,Permitted,2 YEARS - 5 YEARS,76,Yes,Private,12,1,6,5,5
DC2685,BARUCH COLLEGE EARLY LEARNING CENTER,BARUCH COLLEGE EARLY LEARNING CENTER,104 EAST 19 STREET,MANHATTAN,10003,212-387-1420,5325,2015-11-13,Permitted,2 YEARS - 5 YEARS,30,Yes,Private,8,2,3,3,7
DC14176,BASIC TRUST,"MILLER DAY CARE CENTER,INC.",225 WEST 99 STREET,MANHATTAN,10025,212-222-6602,6420,2015-06-18,Permitted,2 YEARS - 5 YEARS,18,No,Private,15,2,10,3,8
DC2208,BASIC TRUST,"MILLER DAY CARE CENTER, INC.",225 WEST 99 STREET,MANHATTAN,10025,212-222-6602,6409,2015-09-14,Permitted,0 YEARS - 2 YEARS,20,No,Private,27,9,11,7,10
DC2219,BATTERY PARK CITY DAY NURSERY,"BATTERY PARK CITY DAY NURSERY,INC.",215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088,5249,2014-06-04,Expired-InRenewal,2 YEARS - 5 YEARS,72,No,Private,4,0,3,1,5
DC14373,BATTERY PARK CITY DAY NURSERY,"BATTERY PARK CITY DAY NURSERY, INC.",215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088,5233,2015-07-03,Permitted,0 YEARS - 2 YEARS,32,No,Private,4,0,3,1,4
DC25250,BATTERY PARK MONTESSORI,"GREEN IVY HOLDINGS, LLC",21 SOUTH END AVENUE,MANHATTAN,10280,212-913-9704,56257,2016-01-24,Permitted,2 YEARS - 5 YEARS,56,Yes,Private,3,3,0,0,3
DC956,BAY RIDGE AVE. CHILD CARE CENTER (I/T),"BAY RIDGE AVE. CHILD CARE CENTER, INC.",1206 BAY RIDGE AVENUE,BROOKLYN,11219,718-680-3544,6654,2015-03-02,Permitted,0 YEARS - 2 YEARS,7,No,Private,8,3,1,4,10
DC12226,BAY RIDGE AVE. CHILD CARE CENTER -P/S,"BAY RIDGE AVE. CHILD CARE CENTER, INC.",1206 BAY RIDGE AVENUE,BROOKLYN,11219,718-680-3544,6655,2015-03-02,Permitted,2 YEARS - 5 YEARS,14,No,Private,17,3,4,10,11
DC16737,BAY RIDGE CHILD CARE CENTER,COLONY SOUTH BROOKLYN HOUSES INC.,314  44TH  STREET,BROOKLYN,11220,718-768-5030,7623,2014-07-28,Permitted,2 YEARS - 5 YEARS,40,No,Private,31,13,14,4,13
DC628,BAY RIDGE MONTESSORI SCHOOL,ARLENE P. MARKINSON,6301 12 AVENUE,BROOKLYN,11219,718-259-8701,5016,2015-11-12,Permitted,2 YEARS - 5 YEARS,30,No,Private,20,3,14,3,11
DC129,BAY RIDGE PLAY PLACE,"DAYCARE AMERICA, INC.",345 91 STREET,BROOKLYN,11209,718-921-3959,5660,2015-07-05,Permitted,2 YEARS - 5 YEARS,45,No,Private,47,9,23,15,16
DC10624,BAY RIDGE PLAY PLACE,DAYCARE AMERICA INC.,347 91ST STREET,BROOKLYN,11209,718-921-3959,5658,2015-06-29,Permitted,0 YEARS - 2 YEARS,21,No,Private,71,13,38,20,16
DC22424,BAYBEE LOUNGE,BAYBEE LOUNGE DAYCARE CORP.,182 HENDRIX ST,BROOKLYN,11207,718-513-0179,12197,2016-02-07,Permitted,0 YEARS - 2 YEARS,18,No,Private,10,4,1,5,7
DC21356,BAYBEE LOUNGE DAYCARE,BAYBEE LOUNGE DAYCARE CORP.,2745 ATLANTIC AVENUE,BROOKLYN,11207,646-541-7744,8398,2015-09-28,Permitted,2 YEARS - 5 YEARS,25,No,Private,9,0,5,4,7
DC25788,BAYRIDGE CHILD CARE CENTER,COLONY SOUTH BROOKLYN HOUSES INC.,322 44TH STREET,BROOKLYN,11220,718-768-5030,55139,2015-12-13,Permitted,2 YEARS - 5 YEARS,24,No,Private,4,0,4,0,2
DC23100,BCA EARLY CHILDHOOD EDUCATION CENTER # 7,BROOKLYN CHINESE-AMERICAN ASSOCIATION,4202 8TH  AVENUE,BROOKLYN,11232,718-438-0008,55337,2015-12-18,Permitted,2 YEARS - 5 YEARS,132,No,Private,0,0,0,0,0
DC20580,BCA EARLY CHILDHOOD EDUCATION CENTER 3,BROOKLYN CHINESE AMERICAN ASSOCIATION,713 43RD STREET,BROOKLYN,11232,718-851-0869,24497,2014-10-10,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,12,4,3,5,3
DC23106,BCA EARLY CHILDHOOD EDUCATION CENTER 5,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",871 50TH STREET,BROOKLYN,11220,718-438-0008,41797,2015-05-29,Permitted,2 YEARS - 5 YEARS,102,No,Private,17,3,10,4,4
DC25881,BCA EARLY CHILDHOODEDUCATION CENTER 8,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",4116  8TH AVENUE,BROOKLYN,11232,718-438-8303,48957,2015-07-26,Permitted,2 YEARS - 5 YEARS,30,No,Private,7,2,4,1,1
DC22000,BCM  CHILD CARE-INFANT/TODDLER,BEIS CHAYA MUSHKA,1505 CARROLL STREET,BROOKLYN,11213,718-756-0770,8401,2015-10-11,Permitted,0 YEARS - 2 YEARS,83,No,Private,13,4,6,3,6
DC1702,BEACHBROOK NURSERY SCHOOL,BEACHBROOK NURSERY SCHOOL,2953 AVENUE X,BROOKLYN,11235,718-648-7162,1831,2014-01-14,Expired-InRenewal,2 YEARS - 5 YEARS,44,No,Private,58,10,28,20,13
DC440,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,410 6 AVENUE,BROOKLYN,11215,718-788-7059,5215,2016-05-23,Permitted,2 YEARS - 5 YEARS,49,No,Private,2,0,2,0,8
DC15159,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,421 7TH STREET,BROOKLYN,11215,718-965-8573,7724,2014-06-07,Expired-InRenewal,2 YEARS - 5 YEARS,55,No,Private,15,5,6,4,12
DC2013,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,446 6TH AVENUE,BROOKLYN,11215,718-965-8573,6062,2015-07-08,Permitted,2 YEARS - 5 YEARS,25,No,Private,6,3,3,0,6
DC738,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,454-456 6 AVENUE,BROOKLYN,11215,718-369-3479,6170,2014-10-04,Permitted,2 YEARS - 5 YEARS,29,No,Private,7,1,5,1,8
DC169,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",133 KINGSBOROUGH  1ST WALK,BROOKLYN,11233,718-453-0828,4348,2014-12-02,Permitted,2 YEARS - 5 YEARS,34,Yes,ACS Head Start,19,3,9,7,9
DC176,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",260 JEFFERSON AVENUE.,BROOKLYN,11216,718-453-0722,5051,2015-08-05,Permitted,2 YEARS - 5 YEARS,37,Yes,ACS Head Start,18,0,7,11,8
DC174,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",5 QUINCY STREET,BROOKLYN,11238,718-453-0788,5170,2014-12-03,Permitted,2 YEARS - 5 YEARS,213,Yes,Head Start (Direct Fed. Funding),42,7,22,13,14
DC26008,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT, INC.",813 HANCOCK STREET,BROOKLYN,11233,718-455-5565,54541,2015-11-26,Permitted,2 YEARS - 5 YEARS,215,No,Private,6,4,0,2,3
DC175,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC",971 DEKALB AVENUE,BROOKLYN,11221,718-453-0681,2210,2014-11-10,Permitted,2 YEARS - 5 YEARS,30,Yes,ACS Head Start,27,5,12,10,12
DC170,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",262 LEXINGTON AVENUE,BROOKLYN,11216,718-453-0760,4297,2015-03-25,Permitted,2 YEARS - 5 YEARS,57,No,ACS Head Start,12,0,6,6,6
DC173,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",275 MARCUS GARVEY BOULEVARD,BROOKLYN,11221,718-453-0500,4413,2015-07-25,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start,15,4,5,6,9
DC25042,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",281 STUYVESANT AVENUE,BROOKLYN,11221,718-455-3686,31017,2015-01-18,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,7,1,5,1,3
DC24792,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",500 MACON STREET,BROOKLYN,11233,718-453-0780,33058,2015-02-21,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,16,0,10,6,4
DC24793,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",990 DEKALB AVENUE,BROOKLYN,11221,718-574-2365,32817,2015-02-19,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,4,0,2,2,3
DC171,BEDFORD STUYVESANT HEAD START,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,INC",214 STUYVESANT AVENUE,BROOKLYN,11221,718-453-0695,5474,2015-04-06,Permitted,2 YEARS - 5 YEARS,37,Yes,ACS Head Start,13,0,9,4,7
DC14775,BEDFORD STUYVESSANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,510-522 QUINCY STREET,BROOKLYN,11221,718-455-4806,7491,2015-11-21,Permitted,2 YEARS - 5 YEARS,105,Yes,Head Start (Direct Fed. Funding),66,7,35,24,16
DC20320,BEDROCK PRESCHOOL,BEDROCK AT COBBLE HILL INC.,3220  ARLINGTON AVENUE,BRONX,10463,718-884-0020,8383,2015-08-31,Permitted,0 YEARS - 2 YEARS,28,No,Private,9,3,4,2,6
DC19580,BEDROCK PRESCHOOL (P/S),BEDROCK AT COBBLE HILL INC.,3220  ARLINGTON AVENUE,BRONX,10463,718-884-0020,8384,2015-08-31,Permitted,2 YEARS - 5 YEARS,40,No,Private,3,1,0,2,9
DC25731,BEGINNING STEPS DAY CARE,"BEGINNING STEPS INFANT DAY CARE, LLC.",21 SNYDER AVENUE,BROOKLYN,11226,718-940-7700,64597,2016-05-19,Permitted,0 YEARS - 2 YEARS,41,No,Private,0,0,0,0,0
DC25729,BEGINNING STEPS DAY CARE/ PRESCHOOL,"BEGINNING STEPS INFANT DAY CARE, LLC",21 SNYDER AVENUE,BROOKLYN,11226,718-940-7700,64598,2016-05-19,Permitted,2 YEARS - 5 YEARS,103,No,Private,0,0,0,0,0
DC21312,BEGINNING WITH CHILDREN PRE-K,"SHELTERING ARMS DAY CARE SERVICES, INC.",11 BARTLETT STREET,BROOKLYN,11206,718-388-8847,8209,2014-08-26,Permitted,2 YEARS - 5 YEARS,18,No,Private,7,2,1,4,6
DC22468,BEGINNINGS NURSERY,BEGINNINGS NURSERY,130  EAST 16TH STREET,MANHATTAN,10003,212-228-5679,9239,2015-11-30,Permitted,0 YEARS - 2 YEARS,11,No,Private,3,0,2,1,4
DC22469,BEGINNINGS NURSERY SCHOOL,BEGINNINGS NURSERY SCHOOL,130  EAST 16TH STREET,MANHATTAN,10003,212-228-5679,9240,2015-11-30,Permitted,2 YEARS - 5 YEARS,74,No,Private,8,2,2,4,4
DC21556,BEIS SHLOMO ZALMEN DAY CARE CENTER,BEIS SHLOMO ZALMEN,262 DELANCEY STREET,MANHATTAN,10002,212-475-1860,10077,2015-12-16,Permitted,2 YEARS - 5 YEARS,42,Yes,Private,11,2,8,1,7
DC14844,BELLEVUE EDUCARE CHILD  CARE CENTER ( P/S ),BELLEVUE DAY CARE INC.,462 FIRST AVENUE,MANHATTAN,10016,212-679-2393,7556,2016-03-16,Permitted,2 YEARS - 5 YEARS,21,No,ACS Contracted Preschools,4,2,2,0,8
DC14463,BELLEVUE EDUCARE CHILD CARE CENTER (I/T PROGRAM),"BELLEVUE DAY CARE CENTER, INC.",462 FIRST AVENUE,MANHATTAN,10016,212-679-2393,7557,2015-03-15,Permitted,0 YEARS - 2 YEARS,20,No,ACS Contracted Preschools,6,2,4,0,8
DC2413,BELLEVUE SOUTH NURSERY SCHOOL,BELLEVUE SOUTH NURSERY SCHOOL,10 WATERSIDE PLAZA,MANHATTAN,10010,212-684-0134,2412,2015-04-28,Permitted,2 YEARS - 5 YEARS,16,No,Private,3,1,1,1,6
