Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC22860,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,"ALL MY CHILDREN DAY CARE & NURSERY, INC.",83-10 188 STREET,QUEENS,11423,718-454-5600,25177,2014-10-16,Permitted,2 YEARS - 5 YEARS,58,No,ACS Contracted Preschools,17,3,12,2,5,3.4,7.0,1958,Bottom 15%,2036,Bottom 15%,40.724483,-73.779168
DC17905,ALL MY CHILDREN DAY CARE &NURSERY SCHOOL INC.,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL INC.,66-05 108 STREET,QUEENS,11375,718-592-8981,27238,2014-11-14,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,0,0,0,0,4,0.0,0.0,219,Top 5%,152,Top 5%,40.7300309,-73.847748
DC24552,ALL MY CHILDREN DAY CARE 11,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,929-234-2320,24878,2014-10-12,Permitted,2 YEARS - 5 YEARS,90,No,ACS Contracted Preschools,65,10,43,12,12,5.41667,10.6667,2148,Bottom 5%,2152,Bottom 5%,40.665663,-73.953357
DC23263,ALL MY CHILDREN DAY CARE AND NURSERY,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",36-49 11 STREET,QUEENS,11106,718-786-1166,26618,2014-10-26,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,14,4,8,2,7,2.0,4.28571,1506,Bottom 30%,1633,Bottom 30%,40.7598607,-73.9404461
DC24549,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,24658,2014-10-12,Permitted,2 YEARS - 5 YEARS,154,No,ACS Contracted Preschools,62,11,37,14,12,5.16667,10.0833,2142,Bottom 5%,2147,Bottom 5%,40.6645043,-73.9294446
DC24550,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,36 FORD STREET,BROOKLYN,11213,718-576-6812,25417,2014-10-17,Permitted,0 YEARS - 2 YEARS,48,No,ACS Contracted Preschools,18,2,12,4,8,2.25,4.25,1613,Bottom 30%,1626,Bottom 30%,40.6645043,-73.9294446
DC24551,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,739 EAST NEW YORK AVENUE,BROOKLYN,11203,718-493-1100,27477,2014-11-16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,11,1,6,4,4,2.75,4.75,1807,Bottom 30%,1736,Bottom 30%,40.662579,-73.938023
DC24554,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,771 CROWN STREET,BROOKLYN,11213,718-756-8300,28679,2014-12-06,Permitted,0 YEARS - 2 YEARS,27,No,ACS Contracted Preschools,5,1,1,3,4,1.25,2.0,1042,Average,987,Average,40.66552,-73.931956
DC11544,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,ALL MY CHILDREN DAY CARE NURSERY SCHOOL III,108-22 69 AVENUE,QUEENS,11375,718-544-0007,7425,2015-07-25,Permitted,2 YEARS - 5 YEARS,43,No,Private,2,0,2,0,5,0.4,0.8,454,Top 30%,488,Top 30%,40.7250456,-73.8445761
DC22115,ALL SEASONS A & C DAY CARE,"ALL SEASONS A & C DAY CARE, LLC",700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24119,2014-10-05,Permitted,2 YEARS - 5 YEARS,24,No,Private,0,0,0,0,3,0.0,0.0,228,Top 5%,215,Top 5%,40.872992,-73.8664663
DC22230,ALL SEASONS A & C DAY CARE,ALL SEASONS A & C DAY CARE LLC,700 ROSEWOOD STREET,BRONX,10467,718-231-7200,24139,2014-10-05,Permitted,0 YEARS - 2 YEARS,19,No,Private,0,0,0,0,3,0.0,0.0,240,Top 5%,189,Top 5%,40.872992,-73.8664663
DC11674,ALL SEASONS DAY CARE,ALL SEASONS DAY CARE LLC,1701 NEREID AVENUE,BRONX,10466,718-324-8300,7237,2016-05-05,Permitted,2 YEARS - 5 YEARS,27,No,Private,0,0,0,0,5,0.0,0.0,229,Top 5%,218,Top 5%,40.89806919999999,-73.852192
DC11867,ALL SEASONS DAY NURSERY INFANT/TODDLER,"ALL SEASONS DAY CARE, LLC",1701 NEREID AVENUE,BRONX,10466,718-324-8300,7458,2014-11-06,Permitted,0 YEARS - 2 YEARS,18,No,Private,4,0,4,0,5,0.8,1.6,728,Average,774,Average,40.89806919999999,-73.852192
DC2583,ALL SOULS SCHOOL,ALL SOULS SCHOOL,1157 LEXINGTON AVENUE,MANHATTAN,10075,212-861-5232,2014,2015-04-26,Permitted,2 YEARS - 5 YEARS,110,No,Private,9,2,4,3,3,3.0,5.66667,1888,Bottom 30%,1885,Bottom 15%,40.7754151,-73.9582739
DC923,ALPHA CHRISTIAN DAYCARE INC.,ALPHA CHRISTIAN DAYCARE INC.,921 EAST 107 STREET,BROOKLYN,11236,718-272-0505,7178,2015-12-21,Permitted,2 YEARS - 5 YEARS,26,No,Private,42,8,17,17,8,5.25,9.375,2144,Bottom 5%,2134,Bottom 5%,40.6477647,-73.8925035
DC14204,ALPHA FUNDEMENTAL PRESCHOOL. INC.,ALPHA FUNDAMENTAL # 2,218-28 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,7541,2015-12-21,Permitted,2 YEARS - 5 YEARS,20,No,Private,1,0,1,0,5,0.2,0.4,294,Top 15%,329,Top 15%,40.713451,-73.737144
DC2452,"ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.","ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.",144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,2015-12-21,Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,5,1,3,1,8,0.625,1.25,598,Top 30%,641,Top 30%,40.673456,-73.79446899999999
DC2601,ALPHAFUNDAMENTAL PRESCHOOL.INC.,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,2015-09-21,Permitted,2 YEARS - 5 YEARS,30,No,Private,1,0,1,0,7,0.142857,0.285714,250,Top 15%,277,Top 15%,40.713427,-73.73707800000001
DC22980,"ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (P.S.)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49197,2015-07-31,Permitted,2 YEARS - 5 YEARS,20,No,Private,36,5,19,12,7,5.14286,9.28571,2141,Bottom 5%,2133,Bottom 5%,40.639984,-74.07589399999999
DC22981,"ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (I/T)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701,49177,2015-07-26,Permitted,0 YEARS - 2 YEARS,12,No,Private,15,0,7,8,5,3.0,4.4,1890,Bottom 30%,1666,Bottom 30%,40.639984,-74.07589399999999
DC20584,AMAC,"ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC.",25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,19617,2016-07-30,Permitted,0 YEARS - 2 YEARS,10,No,Private,1,0,0,1,3,0.333333,0.333333,387,Top 30%,313,Top 15%,40.7386488,-73.99361379999999
DC109,AMALGAMATED NURSERY SCHOOL,AMALGAMATED NURSERY SCHOOL,3980 ORLOFF AVENUE,BRONX,10463,718-543-8688,7169,2015-11-09,Permitted,2 YEARS - 5 YEARS,56,No,Private,3,0,2,1,5,0.6,1.0,596,Top 30%,597,Top 30%,40.884029,-73.892021
DC19490,AMAZING CHILDREN EARLY LEARNING CENTER,DIWANTIE SEEMANGAL,758 EAST 222 STREET,BRONX,10467,347-899-8576,15998,2016-05-07,Permitted,2 YEARS - 5 YEARS,14,No,Private,17,4,10,3,7,2.42857,5.0,1698,Bottom 30%,1783,Bottom 30%,40.884835,-73.8597939
DC18411,AMAZING MAGIC BEANS,AMAZING CHILD CARE INC.,43-12 46TH ST.,QUEENS,11104,718-786-8091,7933,2014-09-07,Permitted,2 YEARS - 5 YEARS,50,No,Private,12,3,4,5,5,2.4,4.4,1678,Bottom 30%,1656,Bottom 30%,40.744418,-73.918716
DC23050,AMBASSADOR CHRISTIAN DAY CARE ACADEMY,LEONIA GIPSON,993 CLARKSON AVENUE,BROOKLYN,11212,718-809-0233,32579,2015-02-14,Permitted,2 YEARS - 5 YEARS,21,No,Private,10,7,3,0,6,1.66667,4.5,1322,Average,1673,Bottom 30%,40.658148,-73.925117
DC12242,AMERICAN EUROPEAN CHILD CARE,"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,6191,2015-08-15,Permitted,0 YEARS - 2 YEARS,10,No,Private,7,3,1,3,5,1.4,2.8,1150,Average,1248,Average,40.60045,-73.99625999999999
DC822,AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER,"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,5938,2014-10-23,Permitted,2 YEARS - 5 YEARS,21,No,Private,24,6,12,6,7,3.42857,6.85714,1962,Bottom 15%,2015,Bottom 15%,40.60045,-73.99625999999999
DC18823,AMY'S ACADEMY,AMY'S KIDDIE DAY CARE CENTER LLC,102 FENIMORE STREET,BROOKLYN,11225,718-462-3200,7955,2014-11-26,Permitted,2 YEARS - 5 YEARS,36,No,Private,35,8,18,9,6,5.83333,11.5,2157,Bottom 5%,2162,Bottom 5%,40.657911,-73.95877
DC31821,ANGEL DAYCARE CENTER,"ANGEL EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",1436 67TH STREET,BROOKLYN,11219,718-259-0888,69057,2016-07-07,Permitted,2 YEARS - 5 YEARS,51,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.622715,-73.999775
DC10465,ANGEL STAR DAY CARE CENTER,"ANGEL STAR DAY CARE CENTER, INC.",6803 20 AVENUE,BROOKLYN,11204,718-331-7282,7501,2015-01-01,Permitted,2 YEARS - 5 YEARS,19,No,Private,17,4,7,6,7,2.42857,4.57143,1692,Bottom 30%,1699,Bottom 30%,40.61452300000001,-73.98755899999999
DC19771,ANGELS IN THE GARDENS CHILD CARE CORP,ANGELS IN THE GARDENS CHILD CARE CORP,72-32 GREENWAY SOUTH,QUEENS,11375,718-997-0990,8288,2015-04-18,Permitted,2 YEARS - 5 YEARS,25,No,Private,4,0,3,1,5,0.8,1.4,739,Average,714,Average,40.7125323,-73.8412101
DC24572,ANNA LEFKOWITZ DAY CARE CENTER,"PHILIP MICHAELS CHILD CARE CENTER, INC.",690 WESTCHESTER AVENUE,BRONX,10455,718-292-8682,23437,2014-09-28,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,10,2,5,3,4,2.5,4.75,1715,Bottom 30%,1741,Bottom 30%,40.8168975,-73.90703669999999
DC2585,ANTIOCH  ACADEMY,ANTIOCH BAPTIST CHURCH,515 WEST 125 STREET,MANHATTAN,10027,212-222-2324,5247,2014-09-30,Permitted,2 YEARS - 5 YEARS,30,No,Private,12,4,6,2,5,2.4,5.2,1679,Bottom 30%,1818,Bottom 30%,40.81417,-73.95652199999999
DC14676,APPLE TREE DAY CARE,"APPLE TREE DAYCARE AC, INC.",440 EAST 48TH STREET,BROOKLYN,11203,718-287-7488,44957,2015-06-25,Permitted,2 YEARS - 5 YEARS,55,No,Private,18,6,2,10,4,4.5,8.0,2111,Bottom 5%,2094,Bottom 5%,40.650991,-73.932547
DC19803,APPLE TREE DAY CARE CENTER,APPLETREE DAY CARE CENTER INC,73-20 BELL BLVD.,QUEENS,11364,718-264-1588,8241,2015-02-28,Permitted,2 YEARS - 5 YEARS,69,No,Private,3,1,2,0,6,0.5,1.16667,500,Top 30%,607,Top 30%,40.7405366,-73.7582311
DC20395,APPLE TREE TODDLER CENTER,APPLETREE TODDLER CENTER INC.,73-20 BELL BLVD.,QUEENS,11364,718-264-1588,8238,2015-02-08,Permitted,0 YEARS - 2 YEARS,10,No,Private,2,1,1,0,6,0.333333,0.833333,385,Top 30%,513,Top 30%,40.7405366,-73.7582311
DC16721,ARCADIA CHILDREN'S  DAYCARE,SHARBANI ROY INC.,2195 GRAND CONCOURSE,BRONX,10453,718-561-8062,7703,2015-01-05,Permitted,2 YEARS - 5 YEARS,62,Yes,Private,11,2,2,7,3,3.66667,5.66667,2011,Bottom 15%,1883,Bottom 15%,40.855905,-73.901431
DC22141,ARISTA PREPARATORY  NURSERY & ACADEMY (P.S.),"ARISTA PREPARATORY, INC.",275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290,10017,2015-12-15,Permitted,2 YEARS - 5 YEARS,38,No,Private,33,0,17,16,10,3.3,5.0,1936,Bottom 15%,1800,Bottom 30%,40.6703375,-73.9420883
DC22142,ARISTA PREPARATORY NURSERY & ACADEMY  (I/T),"ARISTA PREPARATORY, INC.",275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290,10018,2015-12-15,Permitted,0 YEARS - 2 YEARS,15,No,Private,12,1,5,6,8,1.5,2.375,1185,Average,1111,Average,40.6703375,-73.9420883
DC2110,ASSOCIATED BETH RIVKAH SCHOOLS,"ASSOCIATED BETH RIVKAH SCHOOLS, INC.",470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770,7382,2015-03-20,Permitted,2 YEARS - 5 YEARS,228,No,ACS Head Start,2,0,2,0,6,0.333333,0.666667,392,Top 30%,450,Top 30%,40.6625267,-73.94600779999999
DC14793,ASSOCIATED BETH RIVKAH SCHOOLS HEAD START,ASSOCIATED BETH RIVKAH SCHOOL FOR GIRLS,470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770,7957,2014-12-02,Permitted,2 YEARS - 5 YEARS,32,No,Head Start (Direct Fed. Funding),10,2,5,3,6,1.66667,3.16667,1302,Average,1341,Bottom 30%,40.6625267,-73.94600779999999
DC2046,ASTOR SERVICES FOR CHILDREN AND FAMILIES / LAWRENCE F. HICKEY CENTER,ASTOR SERVICES FOR CHILDREN AND FAMILIES,4010 DYRE AVENUE,BRONX,10466,718-515-3000,5927,2015-07-18,Permitted,2 YEARS - 5 YEARS,40,No,Private,3,0,0,3,4,0.75,0.75,674,Average,473,Top 30%,40.890957,-73.83062199999999
DC1344,ASTORIA BLUE FEATHER HEAD START,NYSARC INC. NYC CHAPTER,27-07 8 STREET,QUEENS,11102,718-721-3960,5221,2016-06-18,Permitted,2 YEARS - 5 YEARS,83,Yes,Private,5,0,2,3,6,0.833333,1.16667,758,Average,611,Top 30%,40.7737019,-73.9317118
DC19204,ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980,8169,2016-05-28,Permitted,0 YEARS - 2 YEARS,16,Yes,Head Start (Direct Fed. Funding),10,1,5,4,7,1.42857,2.42857,1164,Average,1125,Average,40.6772498,-73.9255123
DC21046,ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980,8170,2016-05-28,Permitted,2 YEARS - 5 YEARS,51,Yes,Head Start (Direct Fed. Funding),7,0,5,2,6,1.16667,2.0,996,Average,983,Average,40.6772498,-73.9255123
DC1130,ATONEMENT PRE-SCHOOL,THE EVANGELICAL LUTHERAN CHURCH OF THE ATONEMENT,87-07 31 AVENUE,QUEENS,11369,718-639-6074,6977,2016-04-05,Permitted,2 YEARS - 5 YEARS,40,No,Private,9,0,8,1,5,1.8,3.4,1376,Bottom 30%,1409,Bottom 30%,40.75998,-73.88094699999999
DC17011,AUDITORY/ORAL SCHOOL OF NY/ STRIVRIGHT,"THE AUDITORY/ORAL LEARNING CENTER, INC.",3321 AVENUE M,BROOKLYN,11210,718-531-1800,8357,2015-08-04,Permitted,2 YEARS - 5 YEARS,193,No,Private,6,0,4,2,4,1.5,2.5,1175,Average,1151,Average,40.620228,-73.94205099999999
DC24691,AUDREY JOHNSON LEARNING CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",272 MOFFAT STREET,BROOKLYN,11207,718-574-0130,27578,2014-11-20,Permitted,2 YEARS - 5 YEARS,158,No,ACS Contracted Preschools,8,1,4,3,5,1.6,2.8,1273,Average,1241,Average,40.689659,-73.90400799999999
DC24766,"AVA'S LITTLE ACHIEVERS, INC.","AVA'S LITTLE ACHIEVERS, INC.",1743 LINDEN BLVD.,BROOKLYN,11207,347-318-3623,33340,2015-02-26,Permitted,2 YEARS - 5 YEARS,25,No,Private,12,2,5,5,3,4.0,7.0,2057,Bottom 15%,2021,Bottom 15%,40.657838,-73.898196
DC17018,"AVALON  OF RED HOOK, INC. / INFANT/TODDLER","AVALON OF RED HOOK, INC.",46-54 SULLIVAN STREET,BROOKLYN,11231,718-855-4655,7989,2015-02-28,Permitted,0 YEARS - 2 YEARS,46,No,Private,0,0,0,0,2,0.0,0.0,32,Top 5%,211,Top 5%,40.677135,-74.01085599999999
DC2040,"AVALON ACADEMY, PARK SLOPE (INFANT/TODDLER)","AVALON CHILDCARE, PARK SLOPE, INC.",204 15 STREET,BROOKLYN,11215,718-768-4300,7151,2015-03-14,Permitted,0 YEARS - 2 YEARS,34,No,Private,11,3,4,4,6,1.83333,3.5,1389,Bottom 30%,1425,Bottom 30%,40.66558879999999,-73.98990909999999
DC10769,"AVALON CHILDCARE, FIFTH AVENUE","AVALON CHILDCARE, FIFTH AVENUE, INC.",552 5 AVENUE,BROOKLYN,11215,718-768-4300,7618,2014-06-30,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,17,6,8,3,6,2.83333,6.16667,1825,Bottom 30%,1945,Bottom 15%,40.6654558,-73.9894338
DC18803,"AVALON FIFTH AVENUE TODDLER PROGRAM,INC.","AVALON FIFTH AVENUE TODDLER PROGRAM,INC.",552 5 AVENUE,BROOKLYN,11215,718-768-4300,7898,2014-06-30,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,18,3,9,6,7,2.57143,4.71429,1741,Bottom 30%,1731,Bottom 30%,40.6654558,-73.9894338
DC25195,AWESOME BUNNIES CHILDCARE CENTER,"NEW YORK UNITED DAY CARE,INC.",349 KEAP STREET,BROOKLYN,11211,718-302-4400,42519,2015-06-05,Permitted,0 YEARS - 2 YEARS,10,No,Private,5,2,3,0,4,1.25,3.0,1030,Average,1270,Average,40.709245,-73.9548669
DC23234,B ' ABOVE EARLY LEARNING CENTER,"B'ABOVE WORLDWIDE INSTITUTE, INC.",1810 DAVIDSON AVENUE,BRONX,10453,718-466-7509,23517,2016-09-28,Permitted,2 YEARS - 5 YEARS,131,Yes,ACS Contracted Preschools,4,1,1,2,2,2.0,3.5,1500,Bottom 30%,1429,Bottom 30%,40.8496495,-73.9118834
DC24700,B'ABOVE WORKWIDE INSTITUTE /NEW HYDE PARK,"B'ABOVE WORLDWIDE INSTITUTE, INC.",771-779 EAST 49TH STREET,BROOKLYN,11203,718-451-1126,27737,2014-11-21,Permitted,2 YEARS - 5 YEARS,189,Yes,ACS Contracted Preschools,30,6,13,11,10,3.0,5.5,1878,Bottom 30%,1866,Bottom 15%,40.642527,-73.930122
DC18950,B'ABOVE WORLD WIDE HEAD START,B'ABOVE WORLD WIDE INSTITUTE,60-05 WOODHAVEN BLVD,QUEENS,11373,718-805-2252,7963,2014-10-28,Permitted,2 YEARS - 5 YEARS,138,Yes,ACS Head Start,18,2,12,4,4,4.5,8.5,2110,Bottom 5%,2113,Bottom 5%,40.731192,-73.87097299999999
DC22198,B'ABOVE WORLDWIDE INSTITUTE / KRULA,B'ABOVE WORLD WIDE INSTITUTE INC.,799 KENT  AVENUE,BROOKLYN,11205,347-943-6353,29317,2014-12-14,Permitted,2 YEARS - 5 YEARS,132,Yes,ACS Contracted Preschools,14,3,7,4,3,4.66667,9.0,2119,Bottom 5%,2126,Bottom 5%,40.69692500000001,-73.95940499999999
DC19171,BABY GENIUS DAY CARE CENTER,"BABY GENIUS DAY CARE CENTER,INC.",2082 UTICA AVENUE,BROOKLYN,11234,347-312-5277,8008,2015-03-20,Permitted,2 YEARS - 5 YEARS,40,No,Private,39,8,24,7,7,5.57143,11.2857,2153,Bottom 5%,2158,Bottom 5%,40.6209766,-73.9271278
DC22490,BABY STEPS,"BABY STEPS DAY CARE, INC.",99-06 METROPOLITAN AVENUE,QUEENS,11375,718-451-6094,20517,2016-08-08,Permitted,2 YEARS - 5 YEARS,26,No,Private,0,0,0,0,4,0.0,0.0,40,Top 5%,36,Top 5%,40.7108511,-73.8534225
DC22324,BAIS FRIEDA CHILD CARE,BAIS FRIEDA CHILD CARE CENTER INC.,1326 EAST 10TH STREET,BROOKLYN,11230,845-596-2271,28638,2014-12-05,Permitted,2 YEARS - 5 YEARS,54,No,Private,8,0,6,2,5,1.6,2.8,1278,Average,1245,Average,40.616743,-73.96496599999999
DC20809,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169 43RD STREET,BROOKLYN,11219,718-435-5111,8262,2015-01-24,Permitted,0 YEARS - 2 YEARS,16,No,Head Start (Direct Fed. Funding),5,1,3,1,4,1.25,2.5,1053,Average,1143,Average,40.640278,-73.991322
DC25392,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169 43RD STREET,BROOKLYN,11219,718-435-5111,40417,2015-05-16,Permitted,2 YEARS - 5 YEARS,32,No,Head Start (Direct Fed. Funding),2,0,1,1,2,1.0,1.5,847,Average,753,Average,40.640278,-73.991322
DC22831,BAM BAM'S PLAYHOUSE,"BAM BAM'S PLAYHOUSE, INC.",714 BANNER AVENUE,BROOKLYN,11235,718-332-3974,23217,2014-09-26,Permitted,2 YEARS - 5 YEARS,25,No,Private,14,2,8,4,6,2.33333,4.33333,1646,Bottom 30%,1651,Bottom 30%,40.583141,-73.960797
DC21577,BAM BAM'S PLAYHOUSE INFANT/TODDLER,"BAM BAM'S PLAYHOUSE,INC.",714 BANNER AVENUE,BROOKLYN,11235,718-332-3974,8320,2015-06-10,Permitted,0 YEARS - 2 YEARS,10,No,Private,14,2,7,5,7,2.0,3.57143,1495,Bottom 30%,1459,Bottom 30%,40.583141,-73.960797
DC21649,BAMBI CHILD CARE (INFANTS/ YOUNG TODDLERS),BAMBI CHILD CARE 2 INC.,1218 PROSPECT AVENUE,BROOKLYN,11218,718-499-3299,13878,2016-01-24,Permitted,0 YEARS - 2 YEARS,8,No,Private,19,5,8,6,7,2.71429,5.28571,1794,Bottom 30%,1832,Bottom 30%,40.653263,-73.9762004
DC21648,BAMBI CHILD CARE (PRESCHOOL),BAMBI CHILD CARE 2 INC.,1218 PROSPECT AVENUE,BROOKLYN,11218,718-499-2299,13877,2016-01-24,Permitted,2 YEARS - 5 YEARS,20,No,Private,18,2,10,6,7,2.57143,4.57143,1740,Bottom 30%,1697,Bottom 30%,40.653263,-73.9762004
DC14146,BAMBI DAY CARE CENTER INC.,BAMBI DAY CARE CENTER INC,138 HANCOCK STREET,BROOKLYN,11216,718-230-3487,7600,2015-12-12,Permitted,2 YEARS - 5 YEARS,35,No,Private,13,1,8,4,5,2.6,4.6,1751,Bottom 30%,1700,Bottom 30%,40.6822572,-73.9503261
DC1795,"BAMBI DAY CARE, INC.","BAMBI DAY CARE, INC.",300 ROGERS AVENUE,BROOKLYN,11225,718-771-1603,4879,2016-01-17,Permitted,2 YEARS - 5 YEARS,75,No,Private,4,0,3,1,5,0.8,1.4,705,Average,688,Average,40.66607700000001,-73.953869
DC2207,BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE FAMILY CENTER,610 WEST 112 STREET,MANHATTAN,10025,212-875-4414,5728,2014-10-31,Permitted,2 YEARS - 5 YEARS,31,Yes,Private,0,0,0,0,3,0.0,0.0,49,Top 5%,45,Top 5%,40.8056084,-73.966681
DC10953,BANK STREET FAMILY CENTER,BANK STREET COLLEGE OF EDUCATION,610 WEST 112 STREET,MANHATTAN,10025,212-875-4412,5798,2015-06-30,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,1,1,0,0,4,0.25,0.75,359,Top 15%,477,Top 30%,40.8056084,-73.966681
DC2163,BARNARD COLLEGE CENTER FOR TODDLER  DEVELOPMENT,BARNARD COLLEGE,3009 BROADWAY,MANHATTAN,10027,212-854-8271,5797,2015-12-03,Permitted,0 YEARS - 2 YEARS,13,No,Private,1,0,0,1,5,0.2,0.2,286,Top 15%,252,Top 15%,40.8093296,-73.9636611
DC15167,"BARNEY DAY CARE CENTER, INC.","BARNEY DAY CARE CENTER, INC.",472 NETHERLAND AVENUE,STATEN ISLAND,10303,718-477-5262,7847,2015-11-20,Permitted,2 YEARS - 5 YEARS,23,No,Private,7,1,3,3,3,2.33333,4.0,1648,Bottom 30%,1577,Bottom 30%,40.628798,-74.16517499999999
DC12261,BARROW STREET NURSERY SCHOOL AT THE GREENWICH HOUSE INC.,BARROW STREET NURSERY SCHOOL @ GREENWICH HOUSE,27 BARROW STREET,MANHATTAN,10014,212-633-1203,4963,2014-10-26,Permitted,2 YEARS - 5 YEARS,76,Yes,Private,8,2,2,4,3,2.66667,4.66667,1773,Bottom 30%,1718,Bottom 30%,40.732377,-74.00315239999999
DC2685,BARUCH COLLEGE EARLY LEARNING CENTER,BARUCH COLLEGE EARLY LEARNING CENTER,104 EAST 19 STREET,MANHATTAN,10003,212-387-1420,5325,2015-11-13,Permitted,2 YEARS - 5 YEARS,30,Yes,Private,2,0,0,2,4,0.5,0.5,530,Top 30%,394,Top 30%,40.7372121,-73.9875773
DC14176,BASIC TRUST,"MILLER DAY CARE CENTER,INC.",225 WEST 99 STREET,MANHATTAN,10025,212-222-6602,6420,2015-06-18,Permitted,2 YEARS - 5 YEARS,18,No,Private,10,1,7,2,4,2.5,4.75,1709,Bottom 30%,1747,Bottom 30%,40.7962577,-73.96914650000001
DC2208,BASIC TRUST,"MILLER DAY CARE CENTER, INC.",225 WEST 99 STREET,MANHATTAN,10025,212-222-6602,6409,2015-09-14,Permitted,0 YEARS - 2 YEARS,20,No,Private,12,4,3,5,5,2.4,4.6,1674,Bottom 30%,1705,Bottom 30%,40.7962577,-73.96914650000001
DC14373,BATTERY PARK CITY DAY NURSERY,"BATTERY PARK CITY DAY NURSERY, INC.",215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088,5233,2015-07-03,Permitted,0 YEARS - 2 YEARS,32,No,Private,1,0,1,0,3,0.333333,0.666667,395,Top 30%,452,Top 30%,40.7095444,-74.01690909999999
DC2219,BATTERY PARK CITY DAY NURSERY,"BATTERY PARK CITY DAY NURSERY,INC.",215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088,5249,2016-06-04,Permitted,2 YEARS - 5 YEARS,72,No,Private,1,0,0,1,3,0.333333,0.333333,411,Top 30%,302,Top 15%,40.7095444,-74.01690909999999
