Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC17018,05/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10769,11/08/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC10769,11/08/2013,Beverages with added sweeteners observed being served to children at time of inspection.,GENERAL,47.61 (b)(1),CORRECTED
DC18803,11/22/2013,Designated outdoor play area was observed without fencing of appropriate height at time of inspection.,CRITICAL,47.47 (b),CORRECTED
DC25195,01/15/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC25195,01/15/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC25195,01/15/2014,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC25195,01/15/2014,Child care service observed at time of inspection to be providing care for infants under 12 months of age in groups mixed with older children.,CRITICAL,47.23 (g),CORRECTED
DC23234,02/28/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC24700,01/23/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18950,03/12/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC18950,03/12/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC18950,03/12/2014,At time of inspection trash and garbage observed not stored in appropriate containers with tight fitting lids.,GENERAL,47.49 (b),
DC18950,03/12/2014,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC18950,03/12/2014,"Food served is determined not to be from an approved source or in compliance with federal, state and/or local requirements at time of inspection.",PUBLIC HEALTH HAZARD,81.07 (i)*,CORRECTED
DC18950,03/12/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),
DC22198,10/09/2013,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),CORRECTED
DC22198,10/09/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC22198,10/09/2013,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC22198,10/09/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC22198,10/09/2013,At time of inspection it was determined that child care service Educational Director failed to arrange and verify in-service training for staff; documentation not maintained or not available.,GENERAL,47.37 (a),CORRECTED
DC22198,10/09/2013,At the time child care service was providing care it has been determined that the child care service failed to limit areas used by children to their exclusive use. Unauthorized children and/or adults allowed to inhabit child care service facilities during child care hours.,CRITICAL,47.39 (a),CORRECTED
DC22198,10/09/2013,At the time of inspection child care service failed to maintain a minimum of 30 square feet of space per child.,CRITICAL,47.39 (b),CORRECTED
DC22198,10/09/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC19171,05/16/2014,Child care service fails to provide two means of egress.,PUBLIC HEALTH HAZARD,47.41 (a)+*,CORRECTED
DC19171,05/16/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC19171,05/16/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC19171,05/16/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),
DC19171,05/16/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),
DC19171,05/16/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC22490,05/27/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22324,01/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20809,12/24/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC20809,12/24/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC20809,12/24/2013,Adequate space/arrangement to provide separate storage areas for children's outer garments not provided or maintained at time of inspection.,CRITICAL,47.55 (c),CORRECTED
DC20809,12/24/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC20809,12/24/2013,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC25392,03/18/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC25392,03/18/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC22831,05/23/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),
DC22831,05/23/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC22831,05/23/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC22831,05/23/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC22831,05/23/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),
DC22831,05/23/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC22831,05/23/2014,Child care service fails to provide updated copy of New York City Health Code to staff.,GENERAL,47.73 (a),
DC21577,11/22/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC21649,01/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21648,01/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14146,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1795,04/09/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC2207,09/26/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10953,09/26/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC2150,04/14/2014,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,CORRECTED
DC2150,04/14/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC2150,04/14/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC2150,04/14/2014,Adequate lighting not provided in food prep area at time of inspection. Foods observed not protected from contamination from light fixture/bulb damage at time of inspection.,GENERAL,81.19 (a)(b),CORRECTED
DC2150,04/14/2014,Adequate plumbing not provided or maintained at time of inspection.,GENERAL,81.21 (a),CORRECTED
DC2163,03/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15167,01/31/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
