centerName,permitHolder,address,borough,zipCode,phone,permitNumber,permitExpirationDate,permitStatus,ageRange,maximumCapacity,certifiedToAdministerMedication,siteType,GeocodedCategory,Lon,Lat
AMALGAMATED NURSERY SCHOOL,AMALGAMATED NURSERY SCHOOL,3980 ORLOFF AVENUE,BRONX,10463,718-543-8688,7169,2.01511E+16,Permitted,2 YEARS - 5 YEARS,56,No,Private,PAD2013,-73.891957,40.884098
AMAZING MAGIC BEANS,AMAZING CHILD CARE INC,43-12 46TH ST,QUEENS,11104,718-786-8091,7933,2.01409E+16,Permitted,2 YEARS - 5 YEARS,50,No,Private,PAD2013,-73.918703,40.744486
AMBASSADOR CHRISTIAN DAY CARE ACADEMY,LEONIA GIPSON,993 CLARKSON AVENUE,BROOKLYN,11212,718-809-0233,32579,2.01502E+16,Permitted,2 YEARS - 5 YEARS,21,No,Private,PAD2013,-73.925092,40.658148
AMERICAN EUROPEAN CHILD CARE,EUROPEAN CHILD CARE DAY CARE CENTER INC,2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,6191,2.01508E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.996271,40.600428
AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER,EUROPEAN CHILD CARE DAY CARE CENTER INC,2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477,5938,2.0141E+16,Permitted,2 YEARS - 5 YEARS,21,No,Private,PAD2013,-73.996271,40.600428
AMYS ACADEMY,AMYS KIDDIE DAY CARE CENTER LLC,102 FENIMORE STREET,BROOKLYN,11225,718-462-3200,7955,2.01411E+16,Permitted,2 YEARS - 5 YEARS,36,No,Private,PAD2013,-73.958782,40.657971
ANGEL STAR DAY CARE CENTER,ANGEL STAR DAY CARE CENTER INC,6803 20 AVENUE,BROOKLYN,11204,718-331-7282,7501,2.01501E+16,Permitted,2 YEARS - 5 YEARS,19,No,Private,PAD2013,-73.987594,40.614547
ANGELS IN THE GARDENS CHILD CARE CORP,ANGELS IN THE GARDENS CHILD CARE CORP,72-32 GREENWAY SOUTH,QUEENS,11375,718-997-0990,8288,2.01504E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.844692,40.713993
ANNA LEFKOWITZ DAY CARE CENTER,PHILIP MICHAELS CHILD CARE CENTER INC,690 WESTCHESTER AVENUE,BRONX,10455,718-292-8682,23437,2.01409E+16,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,PAD2013,-73.906723,40.81658
ANTIOCH  ACADEMY,ANTIOCH BAPTIST CHURCH,515 WEST 125 STREET,MANHATTAN,10027,212-222-2324,5247,2.01409E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.956533,40.81417
APPLE TREE DAY CARE,APPLE TREE DAYCARE AC INC,440 EAST 48TH STREET,BROOKLYN,11203,718-287-7488,44957,2.01506E+16,Permitted,2 YEARS - 5 YEARS,55,No,Private,PAD2013,-73.932537,40.651011
APPLE TREE DAY CARE CENTER,APPLETREE DAY CARE CENTER INC,73-20 BELL BLVD,QUEENS,11364,718-264-1588,8241,2.01502E+16,Permitted,2 YEARS - 5 YEARS,69,No,Private,PAD2013,-73.758225,40.739919
APPLE TREE TODDLER CENTER,APPLETREE TODDLER CENTER INC,73-20 BELL BLVD,QUEENS,11364,718-264-1588,8238,2.01502E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.758225,40.739919
ARCADIA CHILDRENS  DAYCARE,SHARBANI ROY INC,2195 GRAND CONCOURSE,BRONX,10453,718-561-8062,7703,2.01501E+16,Permitted,2 YEARS - 5 YEARS,62,Yes,Private,PAD2013,-73.901389,40.855948
ARISTA PREPARATORY  NURSERY  ACADEMY PS,ARISTA PREPARATORY INC,275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290,10017,2.01512E+16,Permitted,2 YEARS - 5 YEARS,75,No,Private,PAD2013,-73.941849,40.670219
ARISTA PREPARATORY NURSERY  ACADEMY  I/T,ARISTA PREPARATORY INC,275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290,10018,2.01512E+16,Permitted,0 YEARS - 2 YEARS,15,No,Private,PAD2013,-73.941849,40.670219
ASPIRING STARS DAY CARE CENTER LLC,ASPIRING STARS DAY CARE CENTER LLC,156 GATES  AVENUE,BROOKLYN,11238,718-399-2339,8162,2.01405E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.961242,40.684702
ASSOCIATED BETH RIVKAH SCHOOLS,ASSOCIATED BETH RIVKAH SCHOOLS INC,470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770,7382,2.01503E+16,Permitted,2 YEARS - 5 YEARS,228,No,ACS Head Start,PAD2013,-73.945925,40.662243
ASSOCIATED BETH RIVKAH SCHOOLS HEAD START,ASSOCIATED BETH RIVKAH SCHOOL FOR GIRLS,470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770,7957,2.01412E+16,Permitted,2 YEARS - 5 YEARS,32,No,Head Start Direct Fed Funding,PAD2013,-73.945925,40.662243
ASTOR SERVICES FOR CHILDREN AND FAMILIES / LAWRENCE F HICKEY CENTER,ASTOR SERVICES FOR CHILDREN AND FAMILIES,4010 DYRE AVENUE,BRONX,10466,718-515-3000,5927,2.01507E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.83073,40.890946
ASTORIA BLUE FEATHER HEAD START,NYSARC INC NYC CHAPTER,27-07 8 STREET,QUEENS,11102,718-721-3960,5221,2.01406E+16,Permitted,2 YEARS - 5 YEARS,83,Yes,Private,PAD2013,-73.931815,40.773566
ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980,8169,2.01405E+16,Permitted,0 YEARS - 2 YEARS,16,No,Head Start Direct Fed Funding,PAD2013,-73.925775,40.677451
ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980,8170,2.01405E+16,Permitted,2 YEARS - 5 YEARS,47,No,Head Start Direct Fed Funding,PAD2013,-73.925775,40.677451
ATONEMENT PRE-SCHOOL,THE EVANGELICAL LUTHERAN CHURCH OF THE ATONEMENT,87-07 31 AVENUE,QUEENS,11369,718-639-6074,6977,2.01404E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.881253,40.76
AUDITORY/ORAL SCHOOL OF NY/ STRIVRIGHT,THE AUDITORY/ORAL LEARNING CENTER INC,3321 AVENUE M,BROOKLYN,11210,718-531-1800,8357,2.01508E+16,Permitted,2 YEARS - 5 YEARS,193,No,Private,PAD2013,-73.942046,40.620241
AUDREY JOHNSON LEARNING CENTER,LABOR  INDUSTRY FOR EDUCATION INC,272 MOFFAT STREET,BROOKLYN,11207,718-574-0130,27578,2.01411E+16,Permitted,2 YEARS - 5 YEARS,115,No,ACS Contracted Preschools,PAD2013,-73.904007,40.689671
AUGUSTANA EVANGELICAL LUTHERAN CHURCH,AUGUSTANA LUTHERAN PRE-SCHOOL,69-05 DITMARS BOULEVARD,QUEENS,11370,718-626-5957,6511,2.0131E+16,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.899163,40.768399
AVAS LITTLE ACHIEVERS INC,AVAS LITTLE ACHIEVERS INC,1743 LINDEN BLVD,BROOKLYN,11207,347-318-3623,33340,2.01502E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.898194,40.657847
AVALON ACADEMY PARK SLOPE INFANT/TODDLER,AVALON CHILDCARE PARK SLOPE INC,204 15 STREET,BROOKLYN,11215,718-768-4300,7151,2.01503E+16,Permitted,0 YEARS - 2 YEARS,34,No,Private,PAD2013,-73.9899,40.665625
AVALON CHILD CARE OF RED HOOK INC,AVALON CHILD CARE OF RED HOOK INC,48 SULLIVAN STREET,BROOKLYN,11231,718-855-4655,7989,2.01302E+16,Expired-InRenewal,0 YEARS - 2 YEARS,47,No,Private,PAD2013,-74.010778,40.677088
AVALON CHILDCARE FIFTH AVENUE,AVALON CHILDCARE FIFTH AVENUE INC,552 5 AVENUE,BROOKLYN,11215,718-768-4300,7618,2.01406E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.989671,40.665579
AVALON FIFTH AVENUE TODDLER PROGRAMINC,AVALON FIFTH AVENUE TODDLER PROGRAMINC,552 5 AVENUE,BROOKLYN,11215,718-768-4300,7898,2.01406E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.989671,40.665579
AVENUE B CHRISTIAN ACADEMY,AVENUE B CHRISTIAN CENTER INC,9214 AVENUE B,BROOKLYN,11236,718-498-9464,5993,2.01501E+16,Permitted,2 YEARS - 5 YEARS,23,No,Private,PAD2013,-73.914211,40.65059
AWESOME BUNNIES CHILDCARE CENTER,NEW YORK UNITED DAY CAREINC,349 KEAP STREET,BROOKLYN,11211,718-302-4400,42519,2.01506E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.954772,40.709242
B  ABOVE EARLY LEARNING CENTER,BABOVE WORLDWIDE INSTITUTE INC,1810 DAVIDSON AVENUE,BRONX,10453,718-466-7509,23517,2.01409E+16,Permitted,2 YEARS - 5 YEARS,127,Yes,ACS Contracted Preschools,PAD2013,-73.911914,40.849574
BABOVE WORKWIDE INSTITUTE /NEW HYDE PARK,BABOVE WORLDWIDE INSTITUTE INC,771-779 EAST 49TH STREET,BROOKLYN,11203,718-451-1126,27737,2.01411E+16,Permitted,2 YEARS - 5 YEARS,176,Yes,ACS Contracted Preschools,PAD2013,-73.930176,40.642744
BABOVE WORLD WIDE HEAD START,BABOVE WORLD WIDE INSTITUTE,60-05 WOODHAVEN BLVD,QUEENS,11373,718-805-2252,7963,2.0141E+16,Permitted,2 YEARS - 5 YEARS,138,No,ACS Head Start,PAD2013,-73.871232,40.731236
BABOVE WORLDWIDE INSTITUTE / KRULA,BABOVE WORLD WIDE INSTITUTE INC,799 KENT  AVENUE,BROOKLYN,11205,347-943-6353,29317,2.01412E+16,Permitted,2 YEARS - 5 YEARS,98,Yes,ACS Contracted Preschools,PAD2013,-73.959674,40.69696
BABY GENIUS DAY CARE CENTER,BABY GENIUS DAY CARE CENTERINC,2082 UTICA AVENUE,BROOKLYN,11234,347-312-5277,8008,2.01503E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.927401,40.620923
BABY STEPS,BABY STEPS DAY CARE INC,99-06 METROPOLITAN AVENUE,QUEENS,11375,718-451-6094,20517,2.01408E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.853482,40.710691
BAIS FRIEDA CHILD CARE,BAIS FRIEDA CHILD CARE CENTER INC,1326 EAST 10TH STREET,BROOKLYN,11230,845-596-2271,28638,2.01412E+16,Permitted,2 YEARS - 5 YEARS,54,No,Private,PAD2013,-73.964919,40.616772
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169 43RD STREET,BROOKLYN,11219,718-435-5111,8262,2.01501E+16,Permitted,0 YEARS - 2 YEARS,16,No,Head Start Direct Fed Funding,PAD2013,-73.991268,40.640279
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,1169 43RD STREET,BROOKLYN,11219,718-435-5111,40417,2.01505E+16,Permitted,2 YEARS - 5 YEARS,32,No,Head Start Direct Fed Funding,PAD2013,-73.991268,40.640279
BAM BAMS PLAYHOUSE,BAM BAMS PLAYHOUSE INC,714 BANNER AVENUE,BROOKLYN,11235,718-332-3974,23217,2.01409E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.96078,40.583184
BAM BAMS PLAYHOUSE INFANT/TODDLER,BAM BAMS PLAYHOUSEINC,714 BANNER AVENUE,BROOKLYN,11235,718-332-3974,8320,2.01506E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.96078,40.583184
BAMBI CHILD CARE INFANTS/ YOUNG TODDLERS,BAMBI CHILD CARE 2 INC,1218 PROSPECT AVENUE,BROOKLYN,11218,718-499-3299,13878,2.01403E+16,Expired-InRenewal,0 YEARS - 2 YEARS,8,No,Private,PAD2013,-73.976523,40.653224
BAMBI CHILD CARE PRESCHOOL,BAMBI CHILD CARE 2 INC,1218 PROSPECT AVENUE,BROOKLYN,11218,718-499-2299,13877,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.976523,40.653224
BAMBI DAY CARE CENTER INC,BAMBI DAY CARE CENTER INC,138 HANCOCK STREET,BROOKLYN,11216,718-230-3487,7600,2.01512E+16,Permitted,2 YEARS - 5 YEARS,35,No,Private,PAD2013,-73.950341,40.682279
BAMBI DAY CARE INC,BAMBI DAY CARE INC,300 ROGERS AVENUE,BROOKLYN,11225,718-771-1603,4879,2.01401E+16,Expired-InRenewal,2 YEARS - 5 YEARS,75,No,Private,PAD2013,-73.953897,40.666081
BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE FAMILY CENTER,610 WEST 112 STREET,MANHATTAN,10025,212-875-4414,5728,2.0141E+16,Permitted,2 YEARS - 5 YEARS,31,Yes,Private,PAD2013,-73.966675,40.805563
BANK STREET FAMILY CENTER,BANK STREET COLLEGE OF EDUCATION,610 WEST 112 STREET,MANHATTAN,10025,212-875-4412,5798,2.01506E+16,Permitted,0 YEARS - 2 YEARS,20,Yes,Private,PAD2013,-73.966675,40.805563
BANK STREET HEAD START,BANK STREET COLLEGE OF EDUCATION,113 EAST 13 STREET,MANHATTAN,10003,212-353-2532,7401,2.01502E+16,Permitted,2 YEARS - 5 YEARS,79,Yes,Head Start Direct Fed Funding,PAD2013,-73.988976,40.733379
BARNARD COLLEGE CENTER FOR TODDLER  DEVELOPMENT,BARNARD COLLEGE,3009 BROADWAY,MANHATTAN,10027,212-854-8271,5797,2.01512E+16,Permitted,0 YEARS - 2 YEARS,13,No,Private,PAD2013,-73.963942,40.809144
BARNEY DAY CARE CENTER INC,BARNEY DAY CARE CENTER INC,472 NETHERLAND AVENUE,STATEN ISLAND,10303,718-477-5262,7847,2.01511E+16,Permitted,2 YEARS - 5 YEARS,23,No,Private,PAD2013,-74.165178,40.628785
BARROW STREET NURSERY SCHOOL AT THE GREENWICH HOUSE INC,BARROW STREET NURSERY SCHOOL  GREENWICH HOUSE,27 BARROW STREET,MANHATTAN,10014,212-633-1203,4963,2.0141E+16,Permitted,2 YEARS - 5 YEARS,76,Yes,Private,PAD2013,-74.00309,40.732326
BARUCH COLLEGE EARLY LEARNING CENTER,BARUCH COLLEGE EARLY LEARNING CENTER,104 EAST 19 STREET,MANHATTAN,10003,212-387-1420,5325,2.01311E+16,Expired-InRenewal,2 YEARS - 5 YEARS,30,Yes,Private,PAD2013,-73.987896,40.737128
BASIC TRUST,MILLER DAY CARE CENTERINC,225 WEST 99 STREET,MANHATTAN,10025,212-222-6602,6420,2.01506E+16,Permitted,2 YEARS - 5 YEARS,18,No,Private,PAD2013,-73.969289,40.79654
BASIC TRUST,MILLER DAY CARE CENTER INC,225 WEST 99 STREET,MANHATTAN,10025,212-222-6602,6409,2.01509E+16,Permitted,0 YEARS - 2 YEARS,20,No,Private,PAD2013,-73.969289,40.79654
BATTERY PARK CITY DAY NURSERY,BATTERY PARK CITY DAY NURSERY INC,215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088,5233,2.01507E+16,Permitted,0 YEARS - 2 YEARS,32,No,Private,PAD2013,-74.017209,40.709626
BATTERY PARK CITY DAY NURSERY,BATTERY PARK CITY DAY NURSERYINC,215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088,5249,2.01406E+16,Permitted,2 YEARS - 5 YEARS,72,No,Private,PAD2013,-74.017209,40.709626
BATTERY PARK MONTESSORI,GREEN IVY HOLDINGS LLC,21 SOUTH END AVENUE,MANHATTAN,10280,212-913-9704,56257,2.01601E+16,Permitted,2 YEARS - 5 YEARS,56,Yes,Private,PAD2013,-74.018362,40.708291
BAY RIDGE AVE CHILD CARE CENTER I/T,BAY RIDGE AVE CHILD CARE CENTER INC,1206 BAY RIDGE AVENUE,BROOKLYN,11219,718-680-3544,6654,2.01503E+16,Permitted,0 YEARS - 2 YEARS,7,No,Private,PAD2013,-74.005971,40.624757
BAY RIDGE AVE CHILD CARE CENTER -P/S,BAY RIDGE AVE CHILD CARE CENTER INC,1206 BAY RIDGE AVENUE,BROOKLYN,11219,718-680-3544,6655,2.01503E+16,Permitted,2 YEARS - 5 YEARS,14,No,Private,PAD2013,-74.005971,40.624757
BAY RIDGE CHILD CARE CENTER,COLONY SOUTH BROOKLYN HOUSES INC,314  44TH  STREET,BROOKLYN,11220,718-768-5030,7623,2.01407E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-74.010959,40.650726
BAY RIDGE MONTESSORI SCHOOL,ARLENE P MARKINSON,6301 12 AVENUE,BROOKLYN,11219,718-259-8701,5016,2.01511E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-74.002364,40.627942
BAY RIDGE PLAY PLACE,DAYCARE AMERICA INC,345 91 STREET,BROOKLYN,11209,718-921-3959,5660,2.01507E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-74.030983,40.619927
BAY RIDGE PLAY PLACE - INFANT/TODDLER,DAYCARE AMERICA INC,347 91ST STREET,BROOKLYN,11209,718-921-3959,5658,2.01506E+16,Permitted,0 YEARS - 2 YEARS,21,No,Private,PAD2013,-74.030868,40.619872
BAYBEE LOUNGE,BAYBEE LOUNGE DAYCARE CORP,182 HENDRIX ST,BROOKLYN,11207,718-513-0179,12197,2.01602E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.890991,40.677945
BAYBEE LOUNGE DAYCARE,BAYBEE LOUNGE DAYCARE CORP,2745 ATLANTIC AVENUE,BROOKLYN,11207,646-541-7744,8398,2.01509E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.892995,40.676456
BAYRIDGE CHILD CARE CENTER,COLONY SOUTH BROOKLYN HOUSES INC,322 44TH STREET,BROOKLYN,11220,718-768-5030,55139,2.01512E+16,Permitted,2 YEARS - 5 YEARS,24,No,Private,PAD2013,-74.010844,40.650617
BCA EARLY CHILDHOOD EDUCATION CENTER  7,BROOKLYN CHINESE-AMERICAN ASSOCIATION,4202 8TH  AVENUE,BROOKLYN,11232,718-438-0008,55337,2.01512E+16,Permitted,2 YEARS - 5 YEARS,132,No,Private,PAD2013,-73.999336,40.64563
BCA EARLY CHILDHOOD EDUCATION CENTER 3,BROOKLYN CHINESE AMERICAN ASSOCIATION,713 43RD STREET,BROOKLYN,11232,718-851-0869,24497,2.0141E+16,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,PAD2013,-74.001246,40.646272
BCA EARLY CHILDHOOD EDUCATION CENTER 5,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,871 50TH STREET,BROOKLYN,11220,718-438-0008,41797,2.01505E+16,Permitted,2 YEARS - 5 YEARS,102,No,Private,PAD2013,-74.001763,40.640183
BCA EARLY CHILDHOODEDUCATION CENTER 8,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,4116  8TH AVENUE,BROOKLYN,11232,718-438-0008,48957,2.01507E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.999003,40.645972
BCM  DAY CARE-INFANT/TODDLER,BEIS CHAYA MUSHKA,1505 CARROLL STREET,BROOKLYN,11213,718-756-0770,8401,2.0151E+16,Permitted,0 YEARS - 2 YEARS,83,No,Private,PAD2013,-73.937053,40.666667
BEACHBROOK NURSERY SCHOOL,BEACHBROOK NURSERY SCHOOL,2953 AVENUE X,BROOKLYN,11235,718-648-7162,1831,2.01401E+16,Expired-InRenewal,2 YEARS - 5 YEARS,44,No,Private,PAD2013,-73.939294,40.594378
BEANSPROUTS,BEANSPROUTS INC OF BROOKLYN,446 6TH AVENUE,BROOKLYN,11215,718-965-8573,6062,2.01507E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.984531,40.667675
BEANSPROUTS,BEANSPROUTS INC OF BROOKLYN,454-456 6 AVENUE,BROOKLYN,11215,718-369-3479,6170,2.0141E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.984815,40.667324
BEANSPROUTS,BEANSPROUTS INC OF BROOKLYN,506 6TH AVENUE,BROOKLYN,11215,718-965-8573,7158,2.01509E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.986106,40.665831
BEANSPROUTS OF BROOKYNINC,BEANSPROUTS INC OF BROOKLYN,410 6 AVENUE,BROOKLYN,11215,718-788-7059,5215,2.01405E+16,Permitted,2 YEARS - 5 YEARS,49,No,Private,PAD2013,-73.983607,40.668898
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,133 KINGSBOROUGH  1ST WALK,BROOKLYN,11233,718-453-0828,4348,2.01412E+16,Permitted,2 YEARS - 5 YEARS,34,Yes,ACS Head Start,PAD2013,-73.927025,40.675628
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,260 JEFFERSON AVENUE,BROOKLYN,11216,718-453-0722,5051,2.01508E+16,Permitted,2 YEARS - 5 YEARS,37,Yes,ACS Head Start,PAD2013,-73.947187,40.683367
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,5 QUINCY STREET,BROOKLYN,11238,718-453-0788,5170,2.01412E+16,Permitted,2 YEARS - 5 YEARS,213,Yes,Head Start Direct Fed Funding,PAD2013,-73.961102,40.686125
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT INC,813 HANCOCK STREET,BROOKLYN,11233,718-455-5565,54541,2.01511E+16,Permitted,2 YEARS - 5 YEARS,215,No,Private,PAD2013,-73.922852,40.685871
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,971 DEKALB AVENUE,BROOKLYN,11221,718-453-0681,2210,2.01411E+16,Permitted,2 YEARS - 5 YEARS,30,No,ACS Head Start,PAD2013,-73.936438,40.693464
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,262 LEXINGTON AVENUE,BROOKLYN,11216,718-453-0760,4297,2.01503E+16,Permitted,2 YEARS - 5 YEARS,57,No,ACS Head Start,PAD2013,-73.951539,40.687249
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,275 MARCUS GARVEY BOULEVARD,BROOKLYN,11221,718-453-0500,4413,2.01507E+16,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start,PAD2013,-73.938716,40.688097
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,281 STUYVESANT AVENUE,BROOKLYN,11221,718-455-3686,31017,2.01501E+16,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,PAD2013,-73.93216,40.684876
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,500 MACON STREET,BROOKLYN,11233,718-453-0780,33058,2.01502E+16,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,PAD2013,-73.929959,40.683048
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,990 DEKALB AVENUE,BROOKLYN,11221,718-574-2365,32817,2.01502E+16,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,PAD2013,-73.934867,40.692923
BEDFORD STUYVESANT HEAD START,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTERINC,214 STUYVESANT AVENUE,BROOKLYN,11221,718-453-0695,5474,2.01504E+16,Permitted,2 YEARS - 5 YEARS,37,Yes,ACS Head Start,PAD2013,-73.933283,40.687809
BEDFORD STUYVESSANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,510-522 QUINCY STREET,BROOKLYN,11221,718-455-4806,7491,2.01511E+16,Permitted,2 YEARS - 5 YEARS,105,Yes,Head Start Direct Fed Funding,PAD2013,-73.940238,40.687906
BEDROCK PRESCHOOL,BEDROCK AT COBBLE HILL INC,3220  ARLINGTON AVENUE,BRONX,10463,718-884-0020,8383,2.01508E+16,Permitted,0 YEARS - 2 YEARS,28,No,Private,PAD2013,-73.911968,40.884668
BEDROCK PRESCHOOL P/S,BEDROCK AT COBBLE HILL INC,3220  ARLINGTON AVENUE,BRONX,10463,718-884-0020,8384,2.01508E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.911968,40.884668
BEGINNING WITH CHILDREN PRE-K,SHELTERING ARMS DAY CARE SERVICES INC,11 BARTLETT STREET,BROOKLYN,11206,718-388-8847,8209,2.01408E+16,Permitted,2 YEARS - 5 YEARS,18,No,Private,PAD2013,-73.948183,40.700264
BEGINNINGS NURSERY,BEGINNINGS NURSERY,130  EAST 16TH STREET,MANHATTAN,10003,212-228-5679,9239,2.01511E+16,Permitted,0 YEARS - 2 YEARS,11,No,Private,PAD2013,-73.987367,40.734904
BEGINNINGS NURSERY SCHOOL,BEGINNINGS NURSERY SCHOOL,130  EAST 16TH STREET,MANHATTAN,10003,212-228-5679,9240,2.01511E+16,Permitted,2 YEARS - 5 YEARS,74,No,Private,PAD2013,-73.987367,40.734904
BEIS SHLOMO ZALMEN DAY CARE CENTER,BEIS SHLOMO ZALMEN,262 DELANCEY STREET,MANHATTAN,10002,212-475-1860,10077,2.01312E+16,Expired-InRenewal,2 YEARS - 5 YEARS,42,No,Private,PAD2013,-73.980622,40.716764
BELLEVUE EDUCARE CHILD  CARE CENTER  P/S,BELLEVUE DAY CARE INC,462 FIRST AVENUE,MANHATTAN,10016,212-679-2393,7556,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,21,No,ACS Contracted Preschools,PAD2013,-73.976108,40.739642
BELLEVUE EDUCARE CHILD CARE CENTER I/T PROGRAM,BELLEVUE DAY CARE CENTER INC,462 FIRST AVENUE,MANHATTAN,10016,212-679-2393,7557,2.01503E+16,Permitted,0 YEARS - 2 YEARS,20,No,ACS Contracted Preschools,PAD2013,-73.976108,40.739642
BELLEVUE SOUTH NURSERY SCHOOL,BELLEVUE SOUTH NURSERY SCHOOL,10 WATERSIDE PLAZA,MANHATTAN,10010,212-684-0134,2412,2.01504E+16,Permitted,2 YEARS - 5 YEARS,16,No,Private,PAD2013,-73.97398,40.736845
