Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
DC2452,"ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.","ALPHA KAPPA ALPHA SORORITY DAY CARE CENTER, INC.",144-06 ROCKAWAY BOULEVARD,QUEENS,11436,718-322-6242,5005,12/21/2013,Expired-InRenewal,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,95,40.673456,-73.794469
DC2601,ALPHAFUNDAMENTAL PRESCHOOL.INC.,ALPHA-FUNDAMENTAL PRE-SCHOOL INC,218-30 HEMPSTEAD AVENUE,QUEENS,11429,718-740-1010,6119,9/21/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.713427,-73.737078
DC22981 / DC22980,"ALWAYZ 123 EARLY LEARNING CENTER, INC. / ALWAYZ 123 EARLY LEARNING CENTER, INC.","ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (I/T) / ALWAYZ 1.2.3. EARLY LEARNING CENTER, INC. (P.S.)",80 BAY STREET,STATEN ISLAND,10301,718-815-4701 / 718-815-4701,49177 / 49197,07/26/2015 / 07/31/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,20-Dec,No / No,Private / Private,32,40.639984,-74.075894
DC20584,AMAC,"ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC.",25 WEST 17TH STREET,MANHATTAN,10011,212-645-5005,19617,7/30/2014,Permitted,0 YEARS - 2 YEARS,10,No,Private,10,40.7386488,-73.9936138
DC109,AMALGAMATED NURSERY SCHOOL,AMALGAMATED NURSERY SCHOOL,3980 ORLOFF AVENUE,BRONX,10463,718-543-8688,7169,11/9/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private,56,40.884029,-73.892021
DC19490,AMAZING CHILDREN EARLY LEARNING CENTER,DIWANTIE SEEMANGAL,758 EAST 222 STREET,BRONX,10467,347-899-8576,15998,5/7/2014,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,15,40.884835,-73.8597939
DC18411,AMAZING MAGIC BEANS,AMAZING CHILD CARE INC.,43-12 46TH ST.,QUEENS,11104,718-786-8091,7933,9/7/2014,Permitted,2 YEARS - 5 YEARS,50,No,Private,50,40.744418,-73.918716
DC23050,AMBASSADOR CHRISTIAN DAY CARE ACADEMY,LEONIA GIPSON,993 CLARKSON AVENUE,BROOKLYN,11212,718-809-0233,32579,2/14/2015,Permitted,2 YEARS - 5 YEARS,21,No,Private,21,40.658148,-73.925117
DC822 / DC12242,AMERICAN-EUROPEAN CHILD CARE DAY CARE CENTER / AMERICAN EUROPEAN CHILD CARE,"EUROPEAN CHILD CARE DAY CARE CENTER, INC. / EUROPEAN CHILD CARE DAY CARE CENTER, INC.",2150 BENSON AVENUE,BROOKLYN,11214,718-265-4477 / 718-265-4477,5938 / 6191,10/23/2014 / 08/15/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,21 / 10,No / No,Private / Private,31,40.60045,-73.99626
DC18823,AMY'S ACADEMY,AMY'S KIDDIE DAY CARE CENTER LLC,102 FENIMORE STREET,BROOKLYN,11225,718-462-3200,7955,11/26/2014,Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.657911,-73.95877
DC10465,ANGEL STAR DAY CARE CENTER,"ANGEL STAR DAY CARE CENTER, INC.",6803 20 AVENUE,BROOKLYN,11204,718-331-7282,7501,1/1/2015,Permitted,2 YEARS - 5 YEARS,19,No,Private,19,40.614523,-73.987559
DC19771,ANGELS IN THE GARDENS CHILD CARE CORP,ANGELS IN THE GARDENS CHILD CARE CORP,72-32 GREENWAY SOUTH,QUEENS,11375,718-997-0990,8288,4/18/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.7125323,-73.8412101
DC24572,ANNA LEFKOWITZ DAY CARE CENTER,"PHILIP MICHAELS CHILD CARE CENTER, INC.",690 WESTCHESTER AVENUE,BRONX,10455,718-292-8682,23437,9/28/2014,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,55,40.8168975,-73.9070367
DC2585,ANTIOCH  ACADEMY,ANTIOCH BAPTIST CHURCH,515 WEST 125 STREET,MANHATTAN,10027,212-222-2324,5247,9/30/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.81417,-73.956522
DC14676,APPLE TREE DAY CARE,"APPLE TREE DAYCARE AC, INC.",440 EAST 48TH STREET,BROOKLYN,11203,718-287-7488,44957,6/25/2015,Permitted,2 YEARS - 5 YEARS,55,No,Private,55,40.650991,-73.932547
DC20395 / DC19803,APPLE TREE TODDLER CENTER / APPLE TREE DAY CARE CENTER,APPLETREE TODDLER CENTER INC. / APPLETREE DAY CARE CENTER INC,73-20 BELL BLVD.,QUEENS,11364,718-264-1588 / 718-264-1588,8238 / 8241,02/08/2015 / 02/28/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,Oct-69,No / No,Private / Private,79,40.740402,-73.7581662
DC16721,ARCADIA CHILDREN'S  DAYCARE,SHARBANI ROY INC.,2195 GRAND CONCOURSE,BRONX,10453,718-561-8062,7703,1/5/2015,Permitted,2 YEARS - 5 YEARS,62,Yes,Private,62,40.855905,-73.901431
DC22142 / DC22141,ARISTA PREPARATORY NURSERY & ACADEMY  (I/T) / ARISTA PREPARATORY  NURSERY & ACADEMY (P.S.),"ARISTA PREPARATORY, INC. / ARISTA PREPARATORY, INC.",275 KINGSTON AVENUE,BROOKLYN,11213,718-493-9290 / 718-493-9290,10018 / 10017,12/15/2015 / 12/15/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,15 / 75,No / No,Private / Private,90,40.6703375,-73.9420883
DC19201,ASPIRING STARS DAY CARE CENTER LLC,ASPIRING STARS DAY CARE CENTER LLC,156 GATES  AVENUE,BROOKLYN,11238,718-399-2339,8162,5/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,15,40.684758,-73.961195
DC14793 / DC2110,ASSOCIATED BETH RIVKAH SCHOOLS HEAD START / ASSOCIATED BETH RIVKAH SCHOOLS,"ASSOCIATED BETH RIVKAH SCHOOL FOR GIRLS / ASSOCIATED BETH RIVKAH SCHOOLS, INC.",470 LEFFERTS AVENUE,BROOKLYN,11225,718-735-0770 / 718-735-0770,7957 / 7382,12/02/2014 / 03/20/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,32 / 228,No / No,Head Start (Direct Fed. Funding) / ACS Head Start,260,40.6625267,-73.9460078
DC2046,ASTOR SERVICES FOR CHILDREN AND FAMILIES / LAWRENCE F. HICKEY CENTER,ASTOR SERVICES FOR CHILDREN AND FAMILIES,4010 DYRE AVENUE,BRONX,10466,718-515-3000,5927,7/18/2015,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.890957,-73.830622
DC1344,ASTORIA BLUE FEATHER HEAD START,NYSARC INC. NYC CHAPTER,27-07 8 STREET,QUEENS,11102,718-721-3960,5221,6/18/2014,Permitted,2 YEARS - 5 YEARS,83,Yes,Private,83,40.7737019,-73.9317118
DC21046 / DC19204,ATLANTIC AVENUE EARLY LEARNING CENTER / ATLANTIC AVENUE EARLY LEARNING CENTER,BROOKLYN BUREAU OF COMMUNITY SERVICE / BROOKLYN BUREAU OF COMMUNITY SERVICE,1825 ATLANTIC  AVENUE,BROOKLYN,11233,347-296-4980 / 347-296-4980,8170 / 8169,05/28/2014 / 05/28/2014,Expired-InRenewal / Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,47 / 16,No / Yes,Head Start (Direct Fed. Funding) / Head Start (Direct Fed. Funding),63,40.6772498,-73.9255123
DC1130,ATONEMENT PRE-SCHOOL,THE EVANGELICAL LUTHERAN CHURCH OF THE ATONEMENT,87-07 31 AVENUE,QUEENS,11369,718-639-6074,6977,4/5/2014,Expired-InRenewal,2 YEARS - 5 YEARS,40,No,Private,40,40.75998,-73.880947
DC17011,AUDITORY/ORAL SCHOOL OF NY/ STRIVRIGHT,"THE AUDITORY/ORAL LEARNING CENTER, INC.",3321 AVENUE M,BROOKLYN,11210,718-531-1800,8357,8/4/2015,Permitted,2 YEARS - 5 YEARS,193,No,Private,193,40.620228,-73.942051
DC24691,AUDREY JOHNSON LEARNING CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",272 MOFFAT STREET,BROOKLYN,11207,718-574-0130,27578,11/20/2014,Permitted,2 YEARS - 5 YEARS,158,No,ACS Contracted Preschools,158,40.689659,-73.904008
DC2871,AUGUSTANA EVANGELICAL LUTHERAN CHURCH,AUGUSTANA LUTHERAN PRE-SCHOOL,69-05 DITMARS BOULEVARD,QUEENS,11370,718-626-5957,6511,10/21/2013,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,20,40.768368,-73.899148
DC24766,"AVA'S LITTLE ACHIEVERS, INC.","AVA'S LITTLE ACHIEVERS, INC.",1743 LINDEN BLVD.,BROOKLYN,11207,347-318-3623,33340,2/26/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.657838,-73.898196
DC2040,"AVALON ACADEMY, PARK SLOPE (INFANT/TODDLER)","AVALON CHILDCARE, PARK SLOPE, INC.",204 15 STREET,BROOKLYN,11215,718-768-4300,7151,3/14/2015,Permitted,0 YEARS - 2 YEARS,34,No,Private,34,40.665581,-73.989894
DC17018,"AVALON CHILD CARE OF RED HOOK, INC.","AVALON CHILD CARE OF RED HOOK, INC.",48 SULLIVAN STREET,BROOKLYN,11231,718-855-4655,7989,2/28/2013,Expired-InRenewal,0 YEARS - 2 YEARS,47,No,Private,47,40.6771068,-74.0109148
DC18803 / DC10769,"AVALON FIFTH AVENUE TODDLER PROGRAM,INC. / AVALON CHILDCARE, FIFTH AVENUE","AVALON FIFTH AVENUE TODDLER PROGRAM,INC. / AVALON CHILDCARE, FIFTH AVENUE, INC.",552 5 AVENUE,BROOKLYN,11215,718-768-4300 / 718-768-4300,7898 / 7618,06/30/2014 / 06/30/2014,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,29 / 29,No / No,Private / Private,58,40.6655609,-73.98965
DC24702 / DC25195,NEW YORK UNITED DAY CARE / AWESOME BUNNIES CHILDCARE CENTER,"NEW YORK UNITED DAY CARE, INC. / NEW YORK UNITED DAY CARE,INC.",349 KEAP STREET,BROOKLYN,11211,718-302-4400 / 718-302-4400,29318 / 42519,12/14/2014 / 06/05/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,45 / 10,No / No,Private / Private,55,40.709245,-73.9548669
DC23234,B ' ABOVE EARLY LEARNING CENTER,"B'ABOVE WORLDWIDE INSTITUTE, INC.",1810 DAVIDSON AVENUE,BRONX,10453,718-466-7509,23517,9/28/2014,Permitted,2 YEARS - 5 YEARS,127,Yes,ACS Contracted Preschools,127,40.8496495,-73.9118834
DC24700,B'ABOVE WORKWIDE INSTITUTE /NEW HYDE PARK,"B'ABOVE WORLDWIDE INSTITUTE, INC.",771-779 EAST 49TH STREET,BROOKLYN,11203,718-451-1126,27737,11/21/2014,Permitted,2 YEARS - 5 YEARS,176,Yes,ACS Contracted Preschools,176,40.642527,-73.930122
DC18950,B'ABOVE WORLD WIDE HEAD START,B'ABOVE WORLD WIDE INSTITUTE,60-05 WOODHAVEN BLVD,QUEENS,11373,718-805-2252,7963,10/28/2014,Permitted,2 YEARS - 5 YEARS,138,Yes,ACS Head Start,138,40.731192,-73.870973
DC22198,B'ABOVE WORLDWIDE INSTITUTE / KRULA,B'ABOVE WORLD WIDE INSTITUTE INC.,799 KENT  AVENUE,BROOKLYN,11205,347-943-6353,29317,12/14/2014,Permitted,2 YEARS - 5 YEARS,98,Yes,ACS Contracted Preschools,98,40.696925,-73.959405
DC19171,BABY GENIUS DAY CARE CENTER,"BABY GENIUS DAY CARE CENTER,INC.",2082 UTICA AVENUE,BROOKLYN,11234,347-312-5277,8008,3/20/2015,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.6209826,-73.9271285
DC22490,BABY STEPS,"BABY STEPS DAY CARE, INC.",99-06 METROPOLITAN AVENUE,QUEENS,11375,718-451-6094,20517,8/8/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.7108511,-73.8534225
DC22324,BAIS FRIEDA CHILD CARE,BAIS FRIEDA CHILD CARE CENTER INC.,1326 EAST 10TH STREET,BROOKLYN,11230,845-596-2271,28638,12/5/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,54,40.616743,-73.964966
DC20506 / DC25392 / DC20809,SHIRA HEAD START BAIS YAAKOV ADAS YEREIM / BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM / BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,"SHIRA ASSOCIATION, INC. / BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM / BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM",1169 43RD STREET,BROOKLYN,11219,718-435-7700 / 718-435-5111 / 718-435-5111,8120 / 40417 / 8262,01/13/2016 / 05/16/2015 / 01/24/2015,Permitted / Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,57 / 32 / 16,No / No / No,Head Start (Direct Fed. Funding) / Head Start (Direct Fed. Funding) / Head Start (Direct Fed. Funding),105,40.640278,-73.991322
DC21577 / DC22831,BAM BAM'S PLAYHOUSE INFANT/TODDLER / BAM BAM'S PLAYHOUSE,"BAM BAM'S PLAYHOUSE,INC. / BAM BAM'S PLAYHOUSE, INC.",714 BANNER AVENUE,BROOKLYN,11235,718-332-3974 / 718-332-3974,8320 / 23217,06/10/2015 / 09/26/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,25-Oct,No / No,Private / Private,35,40.583141,-73.960797
DC25689 / DC21648 / DC21649,ONE WORLD PROJECT / BAMBI CHILD CARE (PRESCHOOL) / BAMBI CHILD CARE (INFANTS/ YOUNG TODDLERS),JOANNE DERWIN / BAMBI CHILD CARE 2 INC. / BAMBI CHILD CARE 2 INC.,1218 PROSPECT AVENUE,BROOKLYN,11218,718-407-6377 / 718-499-2299 / 718-499-3299,51658 / 13877 / 13878,09/06/2015 / 01/24/2016 / 01/24/2016,Permitted / Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,46 / 20 / 8,No / No / No,Private / Private / Private,74,40.653263,-73.9762004
DC14146,BAMBI DAY CARE CENTER INC.,BAMBI DAY CARE CENTER INC,138 HANCOCK STREET,BROOKLYN,11216,718-230-3487,7600,12/12/2015,Permitted,2 YEARS - 5 YEARS,35,No,Private,35,40.6822572,-73.9503261
DC1795,"BAMBI DAY CARE, INC.","BAMBI DAY CARE, INC.",300 ROGERS AVENUE,BROOKLYN,11225,718-771-1603,4879,1/17/2016,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.666077,-73.953869
DC10953 / DC2207,BANK STREET FAMILY CENTER / BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE OF EDUCATION / BANK STREET COLLEGE FAMILY CENTER,610 WEST 112 STREET,MANHATTAN,10025,212-875-4412 / 212-875-4414,5798 / 5728,06/30/2015 / 10/31/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,20 / 31,Yes / Yes,Private / Private,51,40.8056084,-73.966681
DC2150,BANK STREET HEAD START,BANK STREET COLLEGE OF EDUCATION,113 EAST 13 STREET,MANHATTAN,10003,212-353-2532,7401,2/17/2015,Permitted,2 YEARS - 5 YEARS,79,Yes,Head Start (Direct Fed. Funding),79,40.7333939,-73.988958
DC2163,BARNARD COLLEGE CENTER FOR TODDLER  DEVELOPMENT,BARNARD COLLEGE,3009 BROADWAY,MANHATTAN,10027,212-854-8271,5797,12/3/2015,Permitted,0 YEARS - 2 YEARS,13,No,Private,13,40.8093296,-73.9636611
DC15167,"BARNEY DAY CARE CENTER, INC.","BARNEY DAY CARE CENTER, INC.",472 NETHERLAND AVENUE,STATEN ISLAND,10303,718-477-5262,7847,11/20/2015,Permitted,2 YEARS - 5 YEARS,23,No,Private,23,40.628798,-74.165175
DC12261,BARROW STREET NURSERY SCHOOL AT THE GREENWICH HOUSE INC.,BARROW STREET NURSERY SCHOOL @ GREENWICH HOUSE,27 BARROW STREET,MANHATTAN,10014,212-633-1203,4963,10/26/2014,Permitted,2 YEARS - 5 YEARS,76,Yes,Private,76,40.732377,-74.0031524
DC2685,BARUCH COLLEGE EARLY LEARNING CENTER,BARUCH COLLEGE EARLY LEARNING CENTER,104 EAST 19 STREET,MANHATTAN,10003,212-387-1420,5325,11/13/2015,Permitted,2 YEARS - 5 YEARS,30,Yes,Private,30,40.7372121,-73.9875773
DC2208 / DC14176,BASIC TRUST / BASIC TRUST,"MILLER DAY CARE CENTER, INC. / MILLER DAY CARE CENTER,INC.",225 WEST 99 STREET,MANHATTAN,10025,212-222-6602 / 212-222-6602,6409 / 6420,09/14/2015 / 06/18/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,20 / 18,No / No,Private / Private,38,40.7962577,-73.9691465
DC2219 / DC14373,BATTERY PARK CITY DAY NURSERY / BATTERY PARK CITY DAY NURSERY,"BATTERY PARK CITY DAY NURSERY,INC. / BATTERY PARK CITY DAY NURSERY, INC.",215 SOUTH END AVENUE,MANHATTAN,10280,212-945-0088 / 212-945-0088,5249 / 5233,06/04/2014 / 07/03/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,72 / 32,No / No,Private / Private,104,40.7095444,-74.0169091
DC25250,BATTERY PARK MONTESSORI,"GREEN IVY HOLDINGS, LLC",21 SOUTH END AVENUE,MANHATTAN,10280,212-913-9704,56257,1/24/2016,Permitted,2 YEARS - 5 YEARS,56,Yes,Private,56,40.7081658,-74.0178918
DC12226 / DC956,BAY RIDGE AVE. CHILD CARE CENTER -P/S / BAY RIDGE AVE. CHILD CARE CENTER (I/T),"BAY RIDGE AVE. CHILD CARE CENTER, INC. / BAY RIDGE AVE. CHILD CARE CENTER, INC.",1206 BAY RIDGE AVENUE,BROOKLYN,11219,718-680-3544 / 718-680-3544,6655 / 6654,03/02/2015 / 03/02/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,14 / 7,No / No,Private / Private,21,40.624726,-74.005963
DC16737,BAY RIDGE CHILD CARE CENTER,COLONY SOUTH BROOKLYN HOUSES INC.,314  44TH  STREET,BROOKLYN,11220,718-768-5030,7623,7/28/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.650666,-74.010943
DC628,BAY RIDGE MONTESSORI SCHOOL,ARLENE P. MARKINSON,6301 12 AVENUE,BROOKLYN,11219,718-259-8701,5016,11/12/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.6279388,-74.0024611
DC129,BAY RIDGE PLAY PLACE,"DAYCARE AMERICA, INC.",345 91 STREET,BROOKLYN,11209,718-921-3959,5660,7/5/2015,Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.619909,-74.030938
DC10624,BAY RIDGE PLAY PLACE - INFANT/TODDLER,DAYCARE AMERICA INC.,347 91ST STREET,BROOKLYN,11209,718-921-3959,5658,6/29/2015,Permitted,0 YEARS - 2 YEARS,21,No,Private,21,40.6198539,-74.030827
DC22424,BAYBEE LOUNGE,BAYBEE LOUNGE DAYCARE CORP.,182 HENDRIX ST,BROOKLYN,11207,718-513-0179,12197,2/7/2016,Permitted,0 YEARS - 2 YEARS,18,No,Private,18,40.6778181,-73.8907027
DC21356,BAYBEE LOUNGE DAYCARE,BAYBEE LOUNGE DAYCARE CORP.,2745 ATLANTIC AVENUE,BROOKLYN,11207,646-541-7744,8398,9/28/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.676449,-73.893002
DC25788,BAYRIDGE CHILD CARE CENTER,COLONY SOUTH BROOKLYN HOUSES INC.,322 44TH STREET,BROOKLYN,11220,718-768-5030,55139,12/13/2015,Permitted,2 YEARS - 5 YEARS,24,No,Private,24,40.6507281,-74.010597
DC23100,BCA EARLY CHILDHOOD EDUCATION CENTER # 7,BROOKLYN CHINESE-AMERICAN ASSOCIATION,4202 8TH  AVENUE,BROOKLYN,11232,718-438-0008,55337,12/18/2015,Permitted,2 YEARS - 5 YEARS,132,No,Private,132,40.6456639,-73.999466
DC20580,BCA EARLY CHILDHOOD EDUCATION CENTER 3,BROOKLYN CHINESE AMERICAN ASSOCIATION,713 43RD STREET,BROOKLYN,11232,718-851-0869,24497,10/10/2014,Permitted,2 YEARS - 5 YEARS,136,No,ACS Contracted Preschools,136,40.646262,-74.0012239
DC23106,BCA EARLY CHILDHOOD EDUCATION CENTER 5,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",871 50TH STREET,BROOKLYN,11220,718-438-0008,41797,5/29/2015,Permitted,2 YEARS - 5 YEARS,102,No,Private,102,40.640187,-74.001711
DC25881,BCA EARLY CHILDHOODEDUCATION CENTER 8,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",4116  8TH AVENUE,BROOKLYN,11232,718-438-8303,48957,7/26/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.645986,-73.99903
DC22000,BCM  CHILD CARE-INFANT/TODDLER,BEIS CHAYA MUSHKA,1505 CARROLL STREET,BROOKLYN,11213,718-756-0770,8401,10/11/2015,Permitted,0 YEARS - 2 YEARS,83,No,Private,83,40.6664572,-73.937253
DC1702,BEACHBROOK NURSERY SCHOOL,BEACHBROOK NURSERY SCHOOL,2953 AVENUE X,BROOKLYN,11235,718-648-7162,1831,1/14/2014,Expired-InRenewal,2 YEARS - 5 YEARS,44,No,Private,44,40.5939529,-73.9394897
DC440,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,410 6 AVENUE,BROOKLYN,11215,718-788-7059,5215,5/23/2016,Permitted,2 YEARS - 5 YEARS,49,No,Private,49,40.6688782,-73.9835464
DC2013,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,446 6TH AVENUE,BROOKLYN,11215,718-965-8573,6062,7/8/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.667689,-73.984572
DC738,BEANSPROUTS,BEANSPROUTS INC. OF BROOKLYN,454-456 6 AVENUE,BROOKLYN,11215,718-369-3479,6170,10/4/2014,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.6673212,-73.9848221
DC169,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",133 KINGSBOROUGH  1ST WALK,BROOKLYN,11233,718-453-0828,4348,12/2/2014,Permitted,2 YEARS - 5 YEARS,34,Yes,ACS Head Start,34,40.6755016,-73.927178
DC176,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",260 JEFFERSON AVENUE.,BROOKLYN,11216,718-453-0722,5051,8/5/2015,Permitted,2 YEARS - 5 YEARS,37,Yes,ACS Head Start,37,40.68335,-73.947169
DC174,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",5 QUINCY STREET,BROOKLYN,11238,718-453-0788,5170,12/3/2014,Permitted,2 YEARS - 5 YEARS,213,Yes,Head Start (Direct Fed. Funding),213,40.6859722,-73.9610701
DC26008,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT, INC.",813 HANCOCK STREET,BROOKLYN,11233,718-455-5565,54541,11/26/2015,Permitted,2 YEARS - 5 YEARS,215,No,Private,215,40.685878,-73.922772
DC175,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC",971 DEKALB AVENUE,BROOKLYN,11221,718-453-0681,2210,11/10/2014,Permitted,2 YEARS - 5 YEARS,30,Yes,ACS Head Start,30,40.6930168,-73.9372077
DC170,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",262 LEXINGTON AVENUE,BROOKLYN,11216,718-453-0760,4297,3/25/2015,Permitted,2 YEARS - 5 YEARS,57,No,ACS Head Start,57,40.6876114,-73.9514253
DC173,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",275 MARCUS GARVEY BOULEVARD,BROOKLYN,11221,718-453-0500,4413,7/25/2015,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start,60,40.6881308,-73.9390439
DC25042,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",281 STUYVESANT AVENUE,BROOKLYN,11221,718-455-3686,31017,1/18/2015,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,35,40.684858,-73.932135
DC24792,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",500 MACON STREET,BROOKLYN,11233,718-453-0780,33058,2/21/2015,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,20,40.6830545,-73.9304417
DC24793,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",990 DEKALB AVENUE,BROOKLYN,11221,718-574-2365,32817,2/19/2015,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,20,40.6930803,-73.9351974
DC171,BEDFORD STUYVESANT HEAD START,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,INC",214 STUYVESANT AVENUE,BROOKLYN,11221,718-453-0695,5474,4/6/2015,Permitted,2 YEARS - 5 YEARS,37,Yes,ACS Head Start,37,40.6878804,-73.9330506
DC14775,BEDFORD STUYVESSANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,510-522 QUINCY STREET,BROOKLYN,11221,718-455-4806,7491,11/21/2015,Permitted,2 YEARS - 5 YEARS,105,Yes,Head Start (Direct Fed. Funding),105,40.687769,-73.940244
DC19580 / DC20320,BEDROCK PRESCHOOL (P/S) / BEDROCK PRESCHOOL,BEDROCK AT COBBLE HILL INC. / BEDROCK AT COBBLE HILL INC.,3220  ARLINGTON AVENUE,BRONX,10463,718-884-0020 / 718-884-0020,8384 / 8383,08/31/2015 / 08/31/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,40 / 28,No / No,Private / Private,68,40.884696,-73.911901
